Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	173
Date	2004JUN21
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	15.49992	[UTC]
Stop_time	15.78186	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54545	[p_s^-1]
ForeOptic_temperature	16.42	[ns]
Front_temperature	16.42	[ns]
Back_temperature	22.93	[ns]
Inside_temperature	22.47	[ns]
Shelter_temperature	18.62	[ns]
PSUnit_temperature	22.03	[ns]
AirCond_temperature	9.25	[ns]
Outside_temperature	24.42	[ns]
Comments	none
Formatted_file	2004173f08.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
309.212	12.43186	0.0011	0.0000
309.312	7.71420	0.0014	0.0000
309.412	15.19648	0.0010	0.0000
309.512	21.70706	0.0008	0.0000
309.612	17.21695	0.0009	0.0000
309.712	11.70370	0.0011	0.0000
309.812	19.63184	0.0009	0.0000
309.912	18.13571	0.0009	0.0000
310.012	9.16505	0.0013	0.0000
310.112	10.88082	0.0012	0.0000
310.212	12.97899	0.0011	0.0000
310.312	23.74553	0.0008	0.0000
310.412	26.28455	0.0007	0.0000
310.512	25.04430	0.0008	0.0000
310.612	25.72258	0.0008	0.0000
310.712	28.72565	0.0007	0.0000
310.812	32.98653	0.0007	0.0000
310.912	32.17458	0.0007	0.0000
311.012	27.02243	0.0007	0.0000
311.112	29.45318	0.0007	0.0000
311.212	29.95301	0.0007	0.0000
311.312	33.94985	0.0007	0.0000
311.412	25.17104	0.0008	0.0000
311.512	31.79179	0.0007	0.0000
311.612	30.35422	0.0007	0.0000
311.712	25.35640	0.0008	0.0000
311.812	26.75129	0.0007	0.0000
311.912	26.72457	0.0007	0.0000
312.012	25.82639	0.0008	0.0000
312.112	26.86707	0.0007	0.0000
312.212	25.50645	0.0008	0.0000
312.312	33.66011	0.0007	0.0000
312.412	39.54018	0.0006	0.0000
312.512	28.41804	0.0007	0.0000
312.612	29.88258	0.0007	0.0000
312.712	35.53012	0.0006	0.0000
312.812	36.18406	0.0006	0.0000
312.912	34.72208	0.0007	0.0000
313.012	35.75790	0.0006	0.0000
313.112	34.72603	0.0007	0.0000
313.212	33.04976	0.0007	0.0000
313.312	34.50756	0.0007	0.0000
313.412	27.02574	0.0007	0.0000
313.512	35.34802	0.0006	0.0000
313.612	33.55467	0.0007	0.0000
313.712	36.06668	0.0006	0.0000
313.812	44.53515	0.0006	0.0000
313.912	45.31717	0.0006	0.0000
314.012	40.00785	0.0006	0.0000
314.112	46.75805	0.0006	0.0000
314.212	45.69576	0.0006	0.0000
314.312	31.79693	0.0007	0.0000
314.412	16.68061	0.0009	0.0000
314.512	28.06684	0.0007	0.0000
314.612	41.07946	0.0006	0.0000
314.712	37.03952	0.0006	0.0000
314.812	41.48428	0.0006	0.0000
314.912	53.70082	0.0005	0.0000
315.012	43.17815	0.0006	0.0000
315.112	47.31703	0.0006	0.0000
315.212	44.78456	0.0006	0.0000
315.312	46.62016	0.0006	0.0000
315.412	41.13848	0.0006	0.0000
315.512	40.65381	0.0006	0.0000
315.612	41.26212	0.0006	0.0000
