sumlev,State,County,Stname,Ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age4564_tot,age4564_male,age4564_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem,median_age_tot,median_age_male,median_age_fem
050,34,011,New Jersey,Cumberland County,5,148040,75818,72222,9728,4924,4804,18993,9807,9186,8542,4402,4140,13486,7340,6146,114953,58852,56101,110777,56685,54092,64633,35936,28697,33514,16443,17071,18971,7575,11396,2494,740,1754,35.8,34.2,37.8
050,34,011,New Jersey,Cumberland County,6,149500,76547,72953,10134,5120,5014,18776,9659,9117,8760,4527,4233,13959,7534,6425,116128,59460,56668,111830,57241,54589,65246,36276,28970,34194,16796,17398,18920,7534,11386,2537,743,1794,35.7,34.1,37.8
050,34,011,New Jersey,Cumberland County,7,151183,77259,73924,10518,5314,5204,18490,9471,9019,9101,4715,4386,14544,7845,6699,117491,60026,57465,113074,57759,55315,65936,36619,29317,34845,17061,17784,18976,7527,11449,2593,745,1848,35.6,34.0,37.8
050,34,013,New Jersey,Essex County,1,793633,377533,416100,57961,29540,28421,106375,54289,52086,42614,21827,20787,74308,36621,37687,608138,282941,325197,586683,271877,314806,353425,172407,181018,170856,79209,91647,94380,36662,57718,12311,3444,8867,34.7,33.1,36.1
050,34,013,New Jersey,Essex County,2,792305,377056,415249,57961,29540,28421,106375,54289,52086,42612,21826,20786,73011,36164,36847,606810,282464,324346,585357,271401,313956,352098,171931,180167,170855,79208,91647,94380,36662,57718,12311,3444,8867,34.7,33.2,36.2
050,34,013,New Jersey,Essex County,3,792651,377322,415329,57434,29264,28170,106312,54258,52054,42665,21840,20825,73340,36412,36928,607607,282975,324632,586240,271960,314280,351934,171971,179963,171917,79707,92210,94416,36698,57718,12420,3488,8932,34.8,33.2,36.3
050,34,013,New Jersey,Essex County,4,794827,378768,416059,57896,29442,28454,106912,54724,52188,42937,21791,21146,73235,36601,36634,608268,283612,324656,587082,272811,314271,349307,171018,178289,175950,81554,94396,93630,36459,57171,12620,3638,8982,35.0,33.4,36.5
050,34,013,New Jersey,Essex County,5,796435,379926,416509,58571,29790,28781,106704,54573,52131,43684,22117,21567,73014,36730,36284,608673,284205,324468,587476,273446,314030,346621,169930,176691,180381,83720,96661,92760,36108,56652,12884,3778,9106,35.3,33.6,36.8
050,34,013,New Jersey,Essex County,6,797439,380789,416650,59781,30418,29363,106263,54331,51932,44817,22691,22126,72601,36555,36046,608190,284252,323938,586578,273349,313229,343045,168499,174546,184173,85489,98684,92356,36066,56290,13312,3998,9314,35.4,33.7,37.0
050,34,013,New Jersey,Essex County,7,796684,380794,415890,61215,31072,30143,105110,53792,51318,46353,23384,22969,71893,36335,35558,606305,283789,322516,584006,272546,311460,338711,166730,171981,187437,86950,100487,91954,36083,55871,13604,4112,9492,35.5,33.8,37.2
050,34,015,New Jersey,Gloucester County,1,254673,123207,131466,16689,8547,8142,34961,17846,17115,15479,7881,7598,22712,11329,11383,195066,92778,102288,187544,88933,98611,111644,54694,56950,57676,28057,29619,29678,12026,17652,3062,840,2222,36.1,35.2,37.0
050,34,015,New Jersey,Gloucester County,2,254673,123207,131466,16689,8547,8142,34961,17846,17115,15479,7881,7598,22712,11329,11383,195066,92778,102288,187544,88933,98611,111644,54694,56950,57676,28057,29619,29678,12026,17652,3062,840,2222,36.1,35.2,37.0
050,34,015,New Jersey,Gloucester County,3,255349,123544,131805,16668,8534,8134,35073,17909,17164,15577,7930,7647,22872,11421,11451,195567,93023,102544,188031,89171,98860,111689,54740,56949,58084,28249,29835,29795,12067,17728,3111,856,2255,36.2,35.2,37.1
050,34,015,New Jersey,Gloucester County,4,258063,124944,133119,16318,8396,7922,34817,17741,17076,15836,8057,7779,24099,12031,12068,198848,94697,104151,191092,90750,100342,112455,55099,57356,60359,29412,30947,30108,12246,17862,3244,908,2336,36.6,35.6,37.5
050,34,015,New Jersey,Gloucester County,5,262583,127246,135337,16071,8321,7750,34685,17656,17029,16184,8234,7950,25391,12626,12765,203783,97158,106625,195643,93035,102608,114184,56013,58171,63220,30809,32411,30424,12405,18019,3336,971,2365,36.8,35.8,37.8
050,34,015,New Jersey,Gloucester County,6,267322,129625,137697,15974,8262,7712,34545,17500,17045,16459,8461,7998,26559,13210,13349,208559,99573,108986,200344,95402,104942,115756,56858,58898,65999,32176,33823,30865,12612,18253,3476,1039,2437,37.0,35.9,38.0
050,34,015,New Jersey,Gloucester County,7,271806,131844,139962,15950,8149,7801,34323,17452,16871,16811,8636,8175,27302,13598,13704,212927,101794,111133,204722,97607,107115,117277,57739,59538,68600,33478,35122,31307,12832,18475,3660,1123,2537,37.1,36.0,38.1
050,34,017,New Jersey,Hudson County,1,608975,299064,309911,38756,19805,18951,69407,35539,33868,29335,15003,14332,63370,32668,30702,486475,236368,250107,471477,228717,242760,302212,155585,146627,122036,57695,64341,69271,26722,42549,8245,2190,6055,33.6,32.3,35.0
050,34,017,New Jersey,Hudson County,2,608975,299064,309911,38756,19805,18951,69407,35539,33868,29335,15003,14332,63370,32668,30702,486475,236368,250107,471477,228717,242760,302212,155585,146627,122036,57695,64341,69271,26722,42549,8245,2190,6055,33.6,32.3,35.0
050,34,017,New Jersey,Hudson County,3,609470,299351,310119,38817,19833,18984,69759,35708,34051,29368,14989,14379,63437,32727,30710,486447,236411,250036,471526,228821,242705,301571,155264,146307,122718,58055,64663,69287,26762,42525,8320,2220,6100,33.6,32.4,35.0
050,34,017,New Jersey,Hudson County,4,613036,301485,311551,39645,20233,19412,70152,35943,34209,29098,14805,14293,60554,31268,29286,488601,237874,250727,474141,230504,243637,301116,155238,145878,125977,59649,66328,68855,26715,42140,8690,2408,6282,34.0,32.8,35.3
050,34,017,New Jersey,Hudson County,5,609626,300047,309579,40219,20540,19679,69423,35550,33873,29017,14834,14183,56837,29349,27488,485367,236507,248860,470967,229123,241844,296075,152862,143213,128308,60805,67503,68213,26505,41708,9113,2505,6608,34.4,33.2,35.7
050,34,017,New Jersey,Hudson County,6,607528,299144,308384,41514,21161,20353,68690,35162,33528,29447,15035,14412,53940,27932,26008,482326,235132,247194,467877,227786,240091,291496,150653,140843,130529,61945,68584,67661,26297,41364,9397,2573,6824,34.7,33.6,36.0
050,34,017,New Jersey,Hudson County,7,606240,298789,307451,42938,21939,20999,67793,34699,33094,30033,15333,14700,52417,27118,25299,479947,234202,245745,465476,226818,238658,287904,149144,138760,132575,62830,69745,67100,26139,40961,9689,2659,7030,35.0,34.0,36.3
050,34,019,New Jersey,Hunterdon County,1,121989,60240,61749,8082,4084,3998,16749,8617,8132,6543,3327,3216,7107,4132,2975,93749,45797,47952,90615,44212,46403,50070,24770,25300,33098,16630,16468,12228,5247,6981,1399,408,991,38.8,38.2,39.3
050,34,019,New Jersey,Hunterdon County,2,121989,60240,61749,8082,4084,3998,16749,8617,8132,6543,3327,3216,7107,4132,2975,93749,45797,47952,90615,44212,46403,50070,24770,25300,33098,16630,16468,12228,5247,6981,1399,408,991,38.8,38.2,39.3
050,34,019,New Jersey,Hunterdon County,3,122618,60573,62045,8049,4064,3985,16792,8638,8154,6587,3350,3237,7178,4178,3000,94335,46112,48223,91190,44521,46669,50279,24899,25380,33450,16809,16641,12280,5269,7011,1426,417,1009,38.9,38.3,39.4
050,34,019,New Jersey,Hunterdon County,4,124992,61703,63289,7862,3954,3908,16826,8678,8148,6919,3518,3401,7817,4463,3354,96691,47256,49435,93385,45553,47832,50054,24813,25241,34956,17525,17431,13467,5821,7646,1580,454,1126,39.5,38.9,40.0
050,34,019,New Jersey,Hunterdon County,5,126771,62637,64134,7638,3874,3764,16778,8677,8101,7202,3636,3566,8553,4809,3744,98649,48237,50412,95153,46450,48703,50186,24888,25298,36515,18272,18243,13782,5992,7790,1612,480,1132,39.9,39.2,40.5
050,34,019,New Jersey,Hunterdon County,6,128331,63450,64881,7609,3856,3753,16582,8591,7991,7550,3807,3743,9349,5204,4145,100245,49038,51207,96590,47196,49394,50266,24941,25325,37894,18905,18989,13975,6136,7839,1674,509,1165,40.1,39.4,40.7
050,34,019,New Jersey,Hunterdon County,7,129746,64202,65544,7639,3896,3743,16365,8475,7890,7846,3949,3897,10211,5586,4625,101660,49764,51896,97896,47882,50014,50269,24962,25307,39241,19561,19680,14183,6276,7907,1698,543,1155,40.4,39.7,41.0
050,34,021,New Jersey,Mercer County,1,350761,170750,180011,22189,11266,10923,44128,22515,21613,18020,9309,8711,35924,18247,17677,275319,132300,143019,266424,127660,138764,156679,79063,77616,79078,37994,41084,44140,17590,26550,5426,1513,3913,36.0,34.6,37.3
050,34,021,New Jersey,Mercer County,2,350761,170750,180011,22189,11266,10923,44128,22515,21613,18020,9309,8711,35924,18247,17677,275319,132300,143019,266424,127660,138764,156679,79063,77616,79078,37994,41084,44140,17590,26550,5426,1513,3913,36.0,34.6,37.3
050,34,021,New Jersey,Mercer County,3,351578,171200,180378,22125,11228,10897,44251,22573,21678,18106,9354,8752,36100,18363,17737,275990,132686,143304,267096,128045,139051,156851,79209,77642,79576,38240,41336,44212,17620,26592,5497,1539,3958,36.1,34.7,37.4
050,34,021,New Jersey,Mercer County,4,354730,172940,181790,22529,11467,11062,44428,22645,21783,18377,9464,8913,36902,18785,18117,278509,134096,144413,269396,129364,140032,156972,79353,77619,81890,39401,42489,44228,17670,26558,5751,1656,4095,36.3,34.8,37.6
050,34,021,New Jersey,Mercer County,5,357622,174474,183148,22514,11454,11060,44280,22542,21738,18936,9688,9248,37501,19131,18370,281183,135544,145639,271892,130790,141102,157147,79587,77560,84488,40613,43875,44238,17743,26495,6005,1782,4223,36.5,35.0,37.9
050,34,021,New Jersey,Mercer County,6,361191,176404,184787,22868,11577,11291,44072,22486,21586,19585,10005,9580,38434,19580,18854,284027,137122,146905,274666,132336,142330,157737,80067,77670,87054,41823,45231,44233,17777,26456,6303,1905,4398,36.5,35.0,38.0
050,34,021,New Jersey,Mercer County,7,365271,178565,186706,23462,11883,11579,43861,22313,21548,20387,10471,9916,39121,19921,19200,287342,138902,148440,277561,133898,143663,158977,80834,78143,89411,42972,46439,44231,17790,26441,6585,2033,4552,36.5,35.0,38.1
050,34,023,New Jersey,Middlesex County,1,750162,368260,381902,49390,25407,23983,90618,46580,44038,37620,19685,17935,71294,35814,35480,591380,286629,304751,572534,276588,295946,345336,174914,170422,162706,79141,83565,92590,37360,55230,9424,2790,6634,35.7,34.5,36.8
050,34,023,New Jersey,Middlesex County,2,750162,368260,381902,49390,25407,23983,90618,46580,44038,37620,19685,17935,71294,35814,35480,591380,286629,304751,572534,276588,295946,345336,174914,170422,162706,79141,83565,92590,37360,55230,9424,2790,6634,35.7,34.5,36.8
