
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 06-612 26 Jul 2006  CCVEX"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 03 03 16  0 0.059405 0.0000  0.628  0.648  0.679  0.1000 1576.93
 14 14 16  0 0.003326 0.0000  1.803  1.828  1.852  0.0100  157.40
 30 30 16  1 0.945000 0.0000  3.679  3.750  3.809  0.0010   11.76
 45 45 16  1 0.957000 0.0000 10.807 11.063 11.331  0.0100    0.16

 Record ScanLine -2006207-  INU_Lat    INU_Lon    Roll   Rad_03  Rad_14  Tmp_30  Tmp_45
 000094 00020553 14.542295 +34.75748 -113.76755  -0.528  55.775  2.5976  261.28  249.20
 000095 00020573 14.543189 +34.75748 -113.75880  -0.352  50.144  2.3215  266.43  255.02
 000096 00020593 14.544081 +34.75731 -113.75227  -0.396  44.572  2.0721  272.51  264.07
 000097 00020613 14.544975 +34.75731 -113.74592  -0.374  42.236  1.9258  273.24  262.94
 000098 00020633 14.545870 +34.75714 -113.73940  -0.418  40.558  1.7994  274.16  264.84
 000099 00020653 14.546762 +34.75697 -113.73287  -0.352  40.738  1.7960  273.41  262.97
 000100 00020673 14.547655 +34.75697 -113.72412  -0.286  45.531  2.1320  270.51  257.59
 000101 00020693 14.548547 +34.75679 -113.71760  -0.484  48.586  2.3448  270.64  260.14
 000102 00020713 14.549441 +34.75662 -113.71107  -0.352  56.794  2.9635  265.62  251.68
 000103 00020733 14.550333 +34.75662 -113.70455  -0.440  62.006  3.2794  260.38  249.38
 000104 00020753 14.551228 +34.75645 -113.69769  -0.440  65.121  3.4890  256.92  244.07
 000105 00020773 14.552122 +34.75628 -113.68910  -0.484  66.199  3.4590  246.88  242.44
 000106 00020793 14.553014 +34.75628 -113.68275  -0.396  66.140  3.3626  325.64  243.60
 000107 00020813 14.553908 +34.75611 -113.67640  -0.374  65.301  3.0200   -0.41  239.56
 000108 00020833 14.554803 +34.75611 -113.67004  -0.352  72.730  3.3692   -0.41  239.81
 000109 00020853 14.555695 +34.75594 -113.66112  -0.396  88.186  4.4868   -0.41  235.28
 000110 00020873 14.556589 +34.75576 -113.65459  -0.418  94.836  4.8360   -0.41  235.14
 000111 00020893 14.557481 +34.75576 -113.64807  -0.264  100.41  5.1486   -0.41  231.11
 000112 00020913 14.558375 +34.75559 -113.64155  -0.572  104.84  5.5145   -0.41  235.63
 000113 00020933 14.559267 +34.75542 -113.63503  -0.550  89.684  4.1808   -0.41  233.68
 000114 00020953 14.560161 +34.75542 -113.62610  -0.242  75.725  3.0766   -0.41  237.25
 000115 00020973 14.561052 +34.75525 -113.61975  -0.440  69.674  2.5976   -0.41  233.80
 000116 00020993 14.561947 +34.75508 -113.61323  -0.374  71.531  2.7040   -0.41  232.65
 000117 00021013 14.562839 +34.75508 -113.60670  -0.462  83.034  3.6919   -0.41  226.07
 000118 00021033 14.563733 +34.75491 -113.60052  -0.396  94.716  4.5400   -0.41  223.97
 000119 00021053 14.564625 +34.75473 -113.59177  -0.352  114.49  6.1997   -0.41  225.20
 000120 00021073 14.565519 +34.75473 -113.58524  -0.330  127.31  7.0777  298.50  222.59
 000121 00021093 14.566414 +34.75456 -113.57872  -0.330  126.89  6.6553   -0.41  225.91
 000122 00021113 14.567306 +34.75439 -113.57220  -0.352  126.41  6.4524   -0.41  222.45
 000123 00021133 14.568200 +34.75439 -113.56345  -0.308  136.47  7.4536   -0.41  227.21
 000124 00021153 14.569092 +34.75422 -113.55675  -0.330  135.09  6.9680   -0.41  225.08
 000125 00021173 14.569983 +34.75405 -113.55022  -0.396  135.69  6.8283   -0.41  223.53
 000126 00021193 14.570878 +34.75405 -113.54388  -0.396  138.69  7.0312   -0.41  221.27
 000127 00021213 14.571770 +34.75388 -113.53752  -0.374  136.41  6.4990   -0.41  223.05
 000128 00021233 14.572664 +34.75370 -113.52928  -0.374  140.97  6.8848   -0.41  218.18
 000129 00021253 14.573556 +34.75370 -113.52293  -0.308  152.11  8.0789   -0.41  219.90
 000130 00021273 14.574450 +34.75353 -113.51658  -0.440  158.04  8.5279   -0.41  220.97
 000131 00021293 14.575344 +34.75336 -113.50989  -0.528  162.23  8.8239   -0.41  224.66
 000132 00021313 14.576236 +34.75319 -113.50147  -0.330  169.84  9.2995   -0.41  217.49
 000133 00021333 14.577130 +34.75319 -113.49512  -0.374  167.81  8.7507   -0.41  221.04
 000134 00021353 14.578022 +34.75302 -113.48877  -0.550  165.65  8.3549   -0.41  224.96
 000135 00021373 14.578917 +34.75302 -113.48225  -0.506  163.07  7.8194   -0.41  226.76
 000136 00021393 14.579811 +34.75285 -113.47607  -0.330  171.76  8.8139  328.41  219.59
 000137 00021413 14.580703 +34.75267 -113.46748  -0.220  171.22  8.3316   -0.41  224.34
 000138 00021433 14.581597 +34.75250 -113.46148  -0.396  167.09  7.4702   -0.41  223.86
 000139 00021453 14.582489 +34.75250 -113.45512  -0.528  171.28  7.7762   -0.41  222.77
 000140 00021473 14.583386 +34.75233 -113.44878  -0.506  171.34  7.4635   -0.41  228.01
 000141 00021493 14.584286 +34.75216 -113.44242  -0.264  171.58  7.2673   -0.41  228.16
 000142 00021513 14.585175 +34.75216 -113.43384  -0.330  177.63  7.8726   -0.41  222.52
 000143 00021533 14.586066 +34.75199 -113.42749  -0.264  185.36  8.3416   -0.41  221.04
 000144 00021553 14.586961 +34.75182 -113.42113  -0.440  193.09  8.8106   -0.41  225.35
 000145 00021573 14.587852 +34.75182 -113.41479  -0.374  192.13  7.8161   -0.41  230.95
 000146 00021593 14.588744 +34.75164 -113.40655  -0.374  207.29  10.108   -0.41  221.88
 000147 00021613 14.589639 +34.75147 -113.40019  -0.484  216.93  10.331   -0.41  224.91
 000148 00021633 14.590533 +34.75147 -113.39419  -0.286  217.83  9.6687  231.12  229.93
 000149 00021653 14.591425 +34.75130 -113.38783  -0.418  208.72  7.7263  235.10  230.15
 000150 00021673 14.592317 +34.75113   +0.00000  -0.308  204.65  7.7130  242.87  232.30
 000151 00021693 14.593208 +34.75096 -113.37359  -0.506  200.99  7.4702  316.11  233.01
 000152 00021713 14.594103 +34.75096 -113.36707  -0.352  196.44  6.9613  247.92  231.00
 000153 00021733 14.594995 +34.75079 -113.36089  -0.308  189.79  6.3959  242.58  236.62
 000154 00021753 14.595889 +34.75061 -113.35453  -0.418  175.11  5.3748  243.43  240.94
 000155 00021773 14.596781 +34.75061 -113.34818  -0.330  165.89  4.7994  254.26  245.78
 000156 00021793 14.597675 +34.75044 -113.33977  -0.308  162.41  4.3704  246.45  243.88
 000157 00021813 14.598570 +34.75027 -113.33342  -0.330  158.94  3.8548  254.77  246.52
 000158 00021833 14.599463 +34.75010 -113.32724  -0.484  154.63  3.6786  253.66  248.45
 000159 00021853 14.600355 +34.75010 -113.32106  -0.374  144.14  3.2661  261.07  252.20
 000160 00021873 14.601247 +34.74993 -113.31264  -0.396  136.17  3.2562  265.59  250.95
 000161 00021893 14.602141 +34.74976 -113.30647  -0.352  125.45  3.0333  269.50  253.36
 000162 00021913 14.603036 +34.74958 -113.29977  -0.330  111.55  2.5211  270.08  255.41
 000163 00021933 14.603930 +34.74958 -113.29359  -0.440  113.29  3.0865  281.95  255.49
 000164 00021953 14.604822 +34.74941 -113.28724  -0.374  105.98  2.5843  279.74  254.63
 000165 00021973 14.605717 +34.74924 -113.27900  -0.374  111.07  2.7573  282.29  252.46
 000166 00021993 14.606608 +34.74907 -113.27265  -0.308  102.80  1.8925  267.82  257.14
 000167 00022013 14.607500 +34.74907 -113.26630  -0.462  91.481  1.5898  304.81  255.66
 000168 00022033 14.608395 +34.74890 -113.25995  -0.396  92.799  1.7362  269.11  257.30
 000169 00022053 14.609286 +34.74873 -113.25343  -0.308  87.467  1.5034  266.89  257.94
 000170 00022073 14.610181 +34.74855 -113.24501  -0.396  100.17  1.7062  269.04  257.25
 000171 00022093 14.611075 +34.74838 -113.23866  -0.286  115.74  1.8426  263.22  256.96
 000172 00022113 14.611969 +34.74838 -113.23196  -0.396  111.19  1.7162  258.12  257.65
 000173 00022133 14.612861 +34.74821 -113.22562  -0.374  113.65  1.6996  255.66  258.94
 000174 00022153 14.613752 +34.74804 -113.21720  -0.396  102.62  1.4435  252.55  259.34
 000175 00022173 14.614644 +34.74787 -113.21085  -0.374  91.661  1.2373  245.43  260.39
 000176 00022193 14.615539 +34.74787 -113.20484  -0.462  90.582  1.3371  255.72  259.73
 000177 00022213 14.616430 +34.74770 -113.19849  -0.374  75.545  1.0643  256.18  261.15
 000178 00022233 14.617325 +34.74752 -113.19214  -0.374  66.978 0.93128  249.90  261.81
 000179 00022253 14.618217 +34.74735 -113.18356  -0.396  65.660 0.94458  252.50  260.88
 000180 00022273 14.619108 +34.74718 -113.17721  -0.374  63.803 0.89802  256.65  263.80
 000181 00022293 14.620003 +34.74718 -113.17085  -0.396  50.264  1.0710  265.20  264.55
