
 Processing inputs for a 50 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "50 MAS Configuration for 05-922  20 Jun 2005  TCSP"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 07 07 16  0 0.054580 0.0000  0.843  0.864  0.884  0.1000  980.98
 15 15 16  0 0.003276 0.0000  1.853  1.878  1.902  0.0100  140.08
 30 30 16  1 0.945000 0.0000  3.671  3.740  3.800  0.0010   11.86
 45 45 16  1 0.957000 0.0000 10.774 11.003 11.274  0.0100    0.16

 Record ScanLine -2005171-  INU_Lat    INU_Lon    Roll   Rad_07  Rad_15  Tmp_30  Tmp_45
 000086 00021805 18.206167 +38.95357 -119.30088  -0.308 0.00000 0.00000   error   error
 000087 00021825 18.207062 +38.95889 -119.30415  -0.352 0.00000 0.00000   error   error
 000088 00021845 18.207956 +38.96593 -119.30843  -0.242 0.00000 0.00000   error   error
 000089 00021865 18.208851 +38.97125 -119.31170  -0.330 0.00000 0.00000   error   error
 000090 00021885 18.209743 +38.97675 -119.31496  -0.374 0.00000 0.00000   error   error
 000091 00021905 18.210636 +38.98207 -119.31822  -0.308 0.00000 0.00000   error   error
 000092 00021925 18.211533 +38.98911 -119.32251  -0.264 0.00000 0.00000   error   error
 000093 00021945 18.212427 +38.99443 -119.32578  -0.396 0.00000 0.00000   error   error
 000094 00021965 18.213322 +39.00009 -119.32921  -0.330 0.00000 0.00000   error   error
 000095 00021985 18.214214 +39.00541 -119.33247  -0.242 0.00000 0.00000   error   error
 000096 00022005 18.215109 +39.01073 -119.33573  -0.330 0.00000 0.00000   error   error
 000097 00022025 18.216003 +39.01760 -119.33985  -0.374 0.00000 0.00000   error   error
 000098 00022045 18.216900 +39.02292 -119.34311  -0.220 0.00000 0.00000   error   error
 000099 00022065 18.217794 +39.02824 -119.34637  -0.330 0.00000 0.00000   error   error
 000100 00022085 18.218687 +39.03374 -119.34963  -0.330 0.00000 0.00000   error   error
 000101 00022105 18.219580 +39.04078 -119.35410  -0.352 0.00000 0.00000   error   error
 000102 00022125 18.220474 +39.04610 -119.35719  -0.220 0.00000 0.00000   error   error
 000103 00022145 18.221369 +39.05142 -119.36045  -0.330 0.00000 0.00000   error   error
 000104 00022165 18.222263 +39.05674 -119.36388  -0.286 0.00000 0.00000   error   error
 000105 00022185 18.223156 +39.06206 -119.36714  -0.352 0.00000 0.00000   error   error
 000106 00022205 18.224052 +39.06927 -119.37144  -0.374 0.00000 0.00000   error   error
 000107 00022225 18.224947 +39.07476 -119.37469  -0.396 0.00000 0.00000   error   error
 000108 00022245 18.225842 +39.08009 -119.37796  -0.308 0.00000 0.00000   error   error
 000109 00022265 18.226736 +39.08541 -119.38122  -0.198 0.00000 0.00000   error   error
 000110 00022285 18.227631 +39.09262 -119.38568  -0.462 0.00000 0.00000   error   error
 000111 00022305 18.228521 +39.09777 -119.38895  -0.352 0.00000 0.00000   error   error
 000112 00022325 18.229416 +39.10326 -119.39220  -0.396 0.00000 0.00000   error   error
 000113 00022345 18.230310 +39.10858 -119.39547  -0.308 0.00000 0.00000   error   error
 000114 00022365 18.231205 +39.11390 -119.39856  -0.330 0.00000 0.00000   error   error
 000115 00022385 18.232100 +39.12111 -119.40319  -0.286 0.00000 0.00000   error   error
 000116 00022405 18.232994 +39.12643 -119.40646  -0.286 0.00000 0.00000   error   error
 000117 00022425 18.233892 +39.13176 -119.40971  -0.242 0.00000 0.00000   error   error
 000118 00022445 18.234787 +39.13691 -119.41280  -0.308 0.00000 0.00000   error   error
 000119 00022465 18.235680 +39.14394 -119.41710  -0.352 0.00000 0.00000   error   error
 000120 00022485 18.236574 +39.14944 -119.42036  -0.352 0.00000 0.00000   error   error
 000121 00022505 18.237467 +39.15476 -119.42379  -0.308 0.00000 0.00000   error   error
 000122 00022525 18.238361 +39.16008 -119.42706  -0.440 0.00000 0.00000   error   error
 000123 00022545 18.239256 +39.16557 -119.43031  -0.396 0.00000 0.00000   error   error
 000124 00022565 18.240150 +39.17278 -119.43478  -0.242 0.00000 0.00000   error   error
 000125 00022585 18.241045 +39.17828 -119.43821  -0.374 0.00000 0.00000   error   error
 000126 00022605 18.241940 +39.18377 -119.44147  -0.220 0.00000 0.00000   error   error
 000127 00022625 18.242834 +39.18909 -119.44473  -0.242 0.00000 0.00000   error   error
 000128 00022645 18.243729 +39.19424 -119.44800  -0.286 0.00000 0.00000   error   error
 000129 00022665 18.244621 +39.20145 -119.45229  -0.352 0.00000 0.00000   error   error
 000130 00022685 18.245516 +39.20677 -119.45555  -0.242 0.00000 0.00000   error   error
 000131 00022705 18.246410 +39.21209 -119.45898  -0.330 0.00000 0.00000   error   error
 000132 00022725 18.247305 +39.21776 -119.46242  -0.220 0.00000 0.00000   error   error
 000133 00022745 18.248199 +39.22480 -119.46671  -0.352 0.00000 0.00000   error   error
 000134 00022765 18.249094 +39.23029 -119.46997  -0.396 0.00000 0.00000   error   error
 000135 00022785 18.249989 +39.23561 -119.47340  -0.220 0.00000 0.00000   error   error
 000136 00022805 18.250883 +39.24093 -119.47666  -0.242 0.00000 0.00000   error   error
 000137 00022825 18.251778 +39.24625 -119.47993  -0.352 0.00000 0.00000   error   error
 000138 00022845 18.252672 +39.25312 -119.48439  -0.396 0.00000 0.00000   error   error
 000139 00022865 18.253567 +39.25861 -119.48765  -0.264 0.00000 0.00000   error   error
 000140 00022885 18.254461 +39.26394 -119.49091  -0.242 0.00000 0.00000   error   error
 000141 00022905 18.255356 +39.26943 -119.49417  -0.264 0.00000 0.00000   error   error
 000142 00022925 18.256250 +39.27681 -119.49863  -0.330 0.00000 0.00000   error   error
 000143 00022945 18.257145 +39.28213 -119.50190  -0.352 0.00000 0.00000   error   error
 000144 00022965 18.258039 +39.28745 -119.50516  -0.418 0.00000 0.00000   error   error
 000145 00022985 18.258934 +39.29295 -119.50859  -0.286 0.00000 0.00000   error   error
 000146 00023005 18.259829 +39.29827 -119.51186  -0.330 0.00000 0.00000   error   error
 000147 00023025 18.260723 +39.30548 -119.51614  -0.374 0.00000 0.00000   error   error
 000148 00023045 18.261616 +39.31080 -119.51958  -0.308 0.00000 0.00000   error   error
 000149 00023065 18.262510 +39.31595 -119.52267  -0.220 0.00000 0.00000   error   error
 000150 00023085 18.263405 +39.32127 -119.52610  -0.418 0.00000 0.00000   error   error
 000151 00023105 18.264299 +39.32848 -119.53040  -0.286 0.00000 0.00000   error   error
 000152 00023125 18.265194 +39.33414 -119.53400  -0.264 0.00000 0.00000   error   error
 000153 00023145 18.266088 +39.33947 -119.53726  -0.352 0.00000 0.00000   error   error
 000154 00023165 18.266983 +39.34479 -119.54052  -0.176 0.00000 0.00000   error   error
 000155 00023185 18.267878 +39.35028 -119.54379  -0.352 0.00000 0.00000   error   error
 000156 00023205 18.268772 +39.35732 -119.54825  -0.264 0.00000 0.00000   error   error
 000157 00023225 18.269667 +39.36281 -119.55151  -0.308 0.00000 0.00000   error   error
 000158 00023245 18.270561 +39.36813 -119.55494  -0.352 0.00000 0.00000   error   error
 000159 00023265 18.271456 +39.37363 -119.55820  -0.374 0.00000 0.00000   error   error
 000160 00023285 18.272350 +39.37895 -119.56164  -0.308 0.00000 0.00000   error   error
 000161 00023305 18.273245 +39.38633 -119.56610  -0.352 0.00000 0.00000   error   error
 000162 00023325 18.274139 +39.39165 -119.56936  -0.308 0.00000 0.00000   error   error
 000163 00023345 18.275034 +39.39714 -119.57279  -0.352 0.00000 0.00000   error   error
 000164 00023365 18.275928 +39.40247 -119.57606  -0.330 0.00000 0.00000   error   error
 000165 00023385 18.276823 +39.40968 -119.58052  +7.194 0.00000 0.00000   error   error
 000166 00023405 18.277718 +39.41517 -119.58378 +15.708 0.00000 0.00000   error   error
 000167 00023425 18.278610 +39.42066 -119.58687 +21.274 0.00000 0.00000   error   error
 000168 00023445 18.279505 +39.42616 -119.58961 +20.922 0.00000 0.00000   error   error
 000169 00023465 18.280399 +39.43199 -119.59185 +20.636 0.00000 0.00000   error   error
 000170 00023485 18.281294 +39.43972 -119.59442 +20.416 0.00000 0.00000   error   error
 000171 00023505 18.282188 +39.44555 -119.59579 +20.152 0.00000 0.00000   error   error
 000172 00023525 18.283083 +39.45156 -119.59682 +20.196 0.00000 0.00000   error   error
 000173 00023545 18.283978 +39.45740 -119.59751 +19.998 0.00000 0.00000   error   error
 000174 00023565 18.284872 +39.46529 -119.59769 +20.086 0.00000 0.00000   error   error
