Easter Island (Chile)         ID: 644   Lat: -27.12  Lon: -109.37  Alt:    0
ADEOS TOMS V.7 Archive Overpass.  Generated: 20-December-2000                   
  MJD   Year Day sec-UT SCN  LAT     LON  DIS  PT  SZA  OZONE   REF   A.I.   SOI
#
50508.7 1997 060 61580  34 -27.18 -109.65  28 100 39.53 259.3  67.9   0.60    3
50509.8 1997 061 65968   3 -27.10 -108.84  53 100 25.80 269.7   9.5   0.50    4
50510.7 1997 062 64357  13 -27.27 -109.52  22 100 30.99 266.8   9.0   1.00    0
50511.7 1997 063 62746  27 -27.22 -109.27  15 100 35.96 263.7  10.4   0.70   -1
50512.7 1997 064 61142  35 -27.25 -109.06  34 100 41.28 266.4  10.5   0.70    3
50513.8 1997 065 65530   5 -27.29 -109.22  24 100 28.36 271.6  20.9   0.30    0
50514.7 1997 066 63912  17 -27.01 -109.46  15 100 33.03 273.5   9.6   0.90   -1
50515.7 1997 067 62308  30 -27.28 -109.28  20 100 38.20 272.5   7.9   0.90    4
50516.7 1997 068 60704  36 -27.25 -108.72  66 100 43.19 278.9  10.7   0.70    1
50517.8 1997 069 65085   8 -27.04 -109.70  34 100 30.68 284.5   9.7   0.60   -1
50518.7 1997 070 63474  21 -27.16 -109.41   6 100 35.29 280.5  12.3   0.50    0
50519.7 1997 071 61870  32 -27.35 -108.99  45 100 40.22 268.7  10.0   0.80   -2
50520.8 1997 072 66257   3 -26.92 -110.04  70 100 28.84 271.5  18.3   0.30    2
50521.7 1997 073 64647  10 -27.26 -109.14  28 100 32.69 263.1  43.3   0.30    1
50522.7 1997 074 63036  25 -27.22 -109.45  14 100 37.57 268.0   9.4   0.50    0
50523.7 1997 075 61431  34 -27.31 -109.09  35 100 42.47 263.4  43.5   1.00   -1
50524.8 1997 076 65819   4 -27.19 -109.42   9 100 30.88 271.1  13.9   0.20    0
50525.7 1997 077 64202  14 -27.02 -109.32  12 100 34.84 262.4  17.5   0.40    0
50526.7 1997 078 62597  28 -27.32 -109.25  25 100 39.69 255.5  28.3   1.30    5
50527.7 1997 079 60993  36 -27.10 -109.89  52 100 45.17 258.2  34.2   1.30    0
50528.8 1997 080 65374   6 -27.01 -109.43  14 100 32.90 260.7  12.9   0.60    0
50529.7 1997 081 63764  18 -27.16 -109.32   7 100 37.13 263.3  41.7   0.90   -5
50530.7 1997 082 62153  31 -27.00 -109.30  15 100 41.75 265.0   8.9   0.60    1
50531.8 1997 083 66547   2 -26.92 -109.84  52 100 31.64 271.8   9.4   0.30    6
50532.8 1997 084 64936   8 -27.27 -109.13  29 100 35.09 266.8   9.8   0.20   -2
50533.7 1997 085 63320  22 -26.97 -109.19  24 100 39.10 259.3  14.0   0.80   -1
50534.7 1997 086 61715  33 -27.08 -109.19  18 100 43.91 259.2   7.8   0.60   -1
50535.8 1997 087 66109   3 -27.18 -109.46  11 100 33.78 257.2  13.5   0.60    2
50536.7 1997 088 64492  12 -27.04 -109.57  22 100 37.29 246.0  89.2   0.10   -3
50537.7 1997 089 62881  26 -27.04 -109.29  12 100 41.38 272.4  16.7   0.60   -3
50538.7 1997 090 61276  35 -26.97 -109.57  26 100 46.28 248.8  77.9   0.20   -1
50539.8 1997 091 65665   5 -27.05 -109.78  41 100 35.87 243.4  40.4   0.00   -3
50540.7 1997 092 64054  15 -27.29 -109.23  23 100 39.43 238.6  71.2  -0.30   -1
50541.7 1997 093 62443  29 -27.18 -109.19  19 100 43.58 243.6  79.7   0.40    2
50542.7 1997 094 60839  36 -27.06 -109.25  14 100 48.27 256.6  73.0   0.10   -1
50543.8 1997 095 65220   7 -26.92 -109.57  30 100 37.73 259.9  62.6   0.10    1
50544.7 1997 096 63609  20 -27.04 -109.54  19 100 41.54 274.4  18.1   1.10    5
50545.7 1997 097 62004  32 -27.19 -109.54  19 100 45.95 275.6  25.9   0.80   -5
50546.8 1997 098 66398   2 -27.25 -109.27  18 100 36.91 298.7  86.3  -0.20    2
50547.7 1997 099 64782   9 -27.19 -109.13  25 100 39.79 316.5  14.4   0.00   -4
50548.7 1997 100 63171  24 -27.19 -109.56  20 100 43.77 294.0   9.4   0.70    0
50549.7 1997 101 61567  34 -27.24 -109.66  32 100 48.19 264.9   8.3   0.70    1
50550.8 1997 102 65954   3 -27.19 -108.84  53 100 38.63 261.0   7.4   0.10   -1
50551.7 1997 103 64337  13 -27.00 -109.43  15 100 41.81 252.1  13.6   0.40    1
50552.7 1997 104 62726  27 -27.01 -109.18  22 100 45.51 254.5  14.6   0.80   -1
50553.7 1997 105 61128  35 -27.40 -109.10  41 100 50.04 256.8  10.6   0.60    3
50554.8 1997 106 65509   5 -27.06 -109.17  21 100 40.54 254.3  41.8   0.30   -1
50555.7 1997 107 63899  17 -27.24 -109.49  18 100 44.05 267.5  14.8   0.50    0
50556.7 1997 108 62288  30 -27.13 -109.21  16 100 47.68 262.8   7.2   0.70    0
50557.7 1997 109 60689  36 -27.46 -108.77  70 100 51.96 257.3   7.8   0.90    4
50558.8 1997 110 65065   8 -26.93 -109.65  35 100 42.52 254.6  11.1   0.60   -3
50559.7 1997 111 63454  21 -27.04 -109.35   9 100 45.82 243.7  34.2   0.80   -1
50560.7 1997 112 61850  33 -27.15 -109.80  43 100 50.08 256.0   8.4   0.70    1
50561.8 1997 113 66238   3 -26.88 -110.02  70 100 41.76 264.2  11.7   0.40    4
50562.7 1997 114 64627  10 -27.27 -109.13  29 100 44.49 268.6  27.3   0.10   -2
50563.7 1997 115 63016  25 -27.22 -109.42  12 100 47.96 265.1   9.6   0.70    0
50564.7 1997 116 61411  34 -27.28 -109.04  37 100 51.75 257.9  10.2   0.70    5
50565.8 1997 117 65797   4 -27.06 -109.38   7 100 43.46 254.7  10.3   0.30   -2
50566.7 1997 118 64182  14 -26.97 -109.29  18 100 46.15 253.9   6.5   0.50    1
50567.7 1997 119 62578  28 -27.29 -109.21  25 100 49.85 253.6   7.1   0.60   -2
50568.7 1997 120 60973  36 -27.06 -109.84  47 100 54.05 255.1  33.2   0.40    0
50569.8 1997 121 65355   6 -26.96 -109.41  18 100 45.11 263.7  56.3  -0.20   -2
50570.7 1997 122 63744  18 -27.08 -109.28  10 100 48.08 277.8  16.4   0.60   -2
50571.7 1997 123 62139  31 -27.27 -109.36  17 100 51.82 296.9  24.4   0.70    0
50572.8 1997 124 66533   2 -27.16 -109.88  51 100 44.81 297.8  17.6   0.40   -2
50573.8 1997 125 64916   8 -27.12 -109.09  28 100 46.83 293.3  16.6   0.20   -3
50574.7 1997 126 63306  22 -27.21 -109.24  16 100 49.97 280.2  17.6   0.20   -1
50575.7 1997 127 61702  33 -27.32 -109.25  25 100 53.67 277.4  21.5   0.70    0
50576.8 1997 128 66089   3 -27.04 -109.44  11 100 46.10 267.1  18.0   0.60    2
50577.7 1997 129 64478  12 -27.26 -109.61  28 100 48.80 258.5  24.9   0.40    1
50578.7 1997 130 62868  26 -27.27 -109.34  17 100 51.84 258.4   7.2   0.50   -1
50579.7 1997 131 61263  35 -27.20 -109.63  27 100 55.64 245.6  17.9   0.90    0
50580.8 1997 132 65651   5 -27.24 -109.82  46 100 47.89 252.2  11.4   0.30    2
50581.7 1997 133 64034  15 -27.10 -109.18  19 100 50.14 249.4  13.5   0.60    1
50582.7 1997 134 62429  29 -27.35 -109.23  29 100 53.59 245.5  17.6   0.80   -4
50583.7 1997 135 60824  36 -27.19 -109.27  13 100 57.25 248.0  15.7   0.50   -1
50584.8 1997 136 65206   7 -27.07 -109.61  24 100 49.15 248.9   8.1   0.50    0
50585.7 1997 137 63595  20 -27.16 -109.57  20 100 51.95 243.9  11.3   0.50   -4
50586.7 1997 138 61984  32 -26.93 -109.44  22 100 55.07 235.3  82.4   0.40    1
50587.8 1997 139 66379   2 -27.00 -109.25  18 100 48.27 251.9  11.8   0.60   -1
50588.7 1997 140 64767   9 -27.27 -109.16  27 100 50.62 262.0   9.4   0.50    2
50589.7 1997 141 63157  24 -27.27 -109.57  26 100 53.62 257.1   7.6   0.50    0
50590.7 1997 142 61546  34 -26.92 -109.53  27 100 56.77 252.5  22.8   1.00   -2
50591.8 1997 143 65941   3 -27.28 -108.88  52 100 49.68 254.4  20.0   0.60    1
50592.7 1997 144 64323  13 -27.05 -109.45  11 100 51.93 252.0  19.4   0.60    1
50593.7 1997 145 62712  27 -27.01 -109.19  22 100 54.76 257.3  11.8   0.60    2
50594.7 1997 146 61108  35 -27.05 -108.97  40 100 58.20 257.1  13.6   0.50   -3
50595.8 1997 147 65496   5 -27.04 -109.18  21 100 50.73 257.6  23.4   0.40    1
50596.7 1997 148 63885  17 -27.17 -109.49  13 100 53.41 249.8  48.4   0.20    1
50597.7 1997 149 62275  30 -27.10 -109.21  16 100 56.33 249.3  17.4   0.60    2
50598.7 1997 150 60676  36 -27.41 -108.75  69 100 59.93 241.1  22.2   1.40   -3
50599.8 1997 151 65058   8 -27.20 -109.73  37 100 52.21 253.6  31.9   0.20    2
50600.7 1997 152 63441  21 -26.95 -109.35  19 100 54.49 245.2  28.9   0.10   -2
50601.7 1997 153 61836  33 -26.97 -109.75  41 100 57.94 245.6   5.6   0.70   -2
50602.8 1997 154 66231   3 -27.12 -110.09  71 100 51.24 252.5  11.6   0.40    0
50603.7 1997 155 64613  10 -27.05 -109.10  28 100 53.00 244.8   6.7   0.40    0
50604.7 1997 156 63002  25 -27.03 -109.39  10 100 55.86 251.3  11.9   0.50   -2
50605.7 1997 157 61398  34 -27.14 -109.01  36 100 59.09 260.1  23.7   0.60   -1
50606.8 1997 158 65786   4 -27.00 -109.40  14 100 51.89 262.9  29.3   0.80    1
50607.7 1997 159 64175  14 -27.18 -109.36   7 100 54.30 260.2  33.2   0.20   -2
50608.7 1997 160 62564  28 -27.14 -109.19  18 100 57.10 249.2   9.8   0.30   -2
50609.7 1997 161 60959  36 -26.90 -109.80  49 100 60.68 239.5   4.0   0.90   -3
50610.8 1997 162 65348   6 -27.20 -109.48  14 100 52.98 237.1  13.9   0.50   -1
