Time	Date	StoreData	FitResults1	FitResults2	Integral
19.999991666666666	2/23/2009 1:44:24	0	59.697971576378976	54.773	8746.802	
20.166658333333334	2/23/2009 1:54:24	0	59.25196835398467	54.253	8782.487	
20.333325000000002	2/23/2009 2:4:24	0	58.81139265339049	53.739	8817.906	
20.49999166666667	2/23/2009 2:14:24	0	58.37614751832465	53.23	8853.062	
20.666658333333338	2/23/2009 2:24:24	0	57.946138330804104	52.727	8887.959	
20.833325000000006	2/23/2009 2:34:24	0	57.5212727394576	52.23	8922.599	
20.999991666666673	2/23/2009 2:44:24	0	57.10146059052425	51.738	8956.986	
21.16665833333334	2/23/2009 2:54:24	0	56.68661386140963	51.251	8991.123	
21.33332500000001	2/23/2009 3:4:24	0	56.27664659668778	50.769	9025.012	
21.499991666666677	2/23/2009 3:14:24	0	55.8714748464425	50.293	9058.656	
21.666658333333345	2/23/2009 3:24:24	0	55.47101660684738	49.821	9092.059	
21.833325000000013	2/23/2009 3:34:24	0	55.075191762888366	49.355	9125.223	
21.99999166666668	2/23/2009 3:44:24	0	54.68392203313787	48.894	9158.15	
22.16665833333335	2/23/2009 3:54:24	0	54.29713091649357	48.437	9190.845	
22.333325000000016	2/23/2009 4:4:24	0	53.91474364079972	47.986	9223.308	
22.499991666666684	2/23/2009 4:14:24	0	53.53668711327205	47.539	9255.544	
22.666658333333352	2/23/2009 4:24:24	0	53.16288987265193	47.097	9287.553	
22.83332500000002	2/23/2009 4:34:24	0	52.79328204301851	46.659	9319.34	
22.999991666666688	2/23/2009 4:44:24	0	52.42779528919103	46.226	9350.907	
23.166658333333356	2/23/2009 4:54:24	0	52.06636277365673	45.798	9382.255	
23.333325000000023	2/23/2009 5:4:24	0	51.70891911496292	45.374	9413.387	
23.49999166666669	2/23/2009 5:14:24	0	51.35540034751441	44.954	9444.307	
23.66665833333336	2/23/2009 5:24:24	0	51.005743882720296	44.539	9475.015	
23.833325000000027	2/23/2009 5:34:24	0	50.65988847143683	44.128	9505.515	
23.999991666666695	2/23/2009 5:44:24	0	50.31777416765528	43.721	9535.808	
24.166658333333363	2/23/2009 5:54:24	0	49.97934229338612	43.318	9565.897	
24.33332500000003	2/23/2009 6:4:24	0	49.644535404693166	42.92	9595.784	
24.4999916666667	2/23/2009 6:14:24	0	49.313297258833195	42.525	9625.472	
24.666658333333366	2/23/2009 6:24:24	0	48.98557278245867	42.135	9654.961	
24.833325000000034	2/23/2009 6:34:24	0	48.661308040842954	41.748	9684.256	
24.999991666666702	2/23/2009 6:44:24	0	48.34045020808945	41.365	9713.356	
25.16665833333337	2/23/2009 6:54:24	0	48.02294753828719	40.986	9742.265	
25.333325000000038	2/23/2009 7:4:24	0	47.708749337578055	40.611	9770.985	
25.499991666666705	2/23/2009 7:14:24	0	47.397805937101	40.24	9799.517	
25.666658333333373	2/23/2009 7:24:24	0	47.09006866678132	39.873	9827.863	
25.83332500000004	2/23/2009 7:34:24	0	46.7854898299337	39.509	9856.026	
25.99999166666671	2/23/2009 7:44:24	0	46.48402267864911	39.148	9884.006	
26.166658333333377	2/23/2009 7:54:24	0	46.185621389937396	38.792	9911.807	
26.333325000000045	2/23/2009 8:4:24	0	45.8902410425979	38.438	9939.43	
26.499991666666713	2/23/2009 8:14:24	0	45.59783759479213	38.089	9966.876	
26.66665833333338	2/23/2009 8:24:24	0	45.30836786229324	37.742	9994.148	
26.83332500000005	2/23/2009 8:34:24	0	45.02178949738849	37.399	10021.247	
26.999991666666716	2/23/2009 8:44:24	0	44.73806096841122	37.06	10048.175	
27.166658333333384	2/23/2009 8:54:24	0	44.457141539880645	36.724	10074.934	
27.333325000000052	2/23/2009 9:4:24	0	44.17899125322795	36.391	10101.525	
27.49999166666672	2/23/2009 9:14:24	0	43.903570908088206	36.061	10127.95	
27.666658333333388	2/23/2009 9:24:24	0	43.63084204413895	35.735	10154.21	
27.833325000000055	2/23/2009 9:34:24	0	43.36076692346608	35.411	10180.307	
27.999991666666723	2/23/2009 9:44:24	0	43.09330851343961	35.091	10206.244	
28.16665833333339	2/23/2009 9:54:24	0	42.82843047008142	34.774	10232.02	
28.33332500000006	2/23/2009 10:4:24	0	42.566097121908676	34.46	10257.638	
28.499991666666727	2/23/2009 10:14:24	0	42.306273454236745	34.149	10283.1	
28.666658333333395	2/23/2009 10:24:24	0	42.04892509392639	33.841	10308.407	
28.833325000000062	2/23/2009 10:34:24	0	41.79401829456021	33.536	10333.56	
28.99999166666673	2/23/2009 10:44:24	0	41.54151992203425	33.234	10358.56	
29.166658333333398	2/23/2009 10:54:24	0	41.29139744055123	32.935	10383.41	
29.333325000000066	2/23/2009 11:4:24	0	41.04361889900176	32.638	10408.111	
29.499991666666734	2/23/2009 11:14:24	0	40.798152917721495	32.345	10432.663	
29.6666583333334	2/23/2009 11:24:24	0	40.55496867561155	32.054	10457.069	
29.83332500000007	2/23/2009 11:34:24	0	40.31403589761064	31.766	10481.33	
29.999991666666737	2/23/2009 11:44:24	0	40.075324842507584	31.481	10505.447	
30.166658333333405	2/23/2009 11:54:24	0	39.83880629108348	31.198	10529.421	
30.333325000000073	2/23/2009 12:4:24	0	39.60445153457265	30.918	10553.254	
30.49999166666674	2/23/2009 12:14:24	0	39.37223236343274	30.641	10576.947	
30.66665833333341	2/23/2009 12:24:24	0	39.14212105641389	30.366	10600.501	
30.833325000000077	2/23/2009 12:34:24	0	38.91409036991786	30.094	10623.918	
30.999991666666745	2/23/2009 12:44:24	0	38.688113527637675	29.825	10647.199	
31.166658333333412	2/23/2009 12:54:24	0	38.46416421046975	29.558	10670.344	
31.33332500000008	2/23/2009 13:4:24	0	38.24221654668919	29.293	10693.356	
31.499991666666748	2/23/2009 13:14:24	0	38.02224510238107	29.031	10716.236	
31.666658333333416	2/23/2009 13:24:24	0	37.80422487211922	28.772	10738.984	
31.833325000000084	2/23/2009 13:34:24	0	37.58813126988524	28.515	10761.601	
31.99999166666675	2/23/2009 13:44:24	0	37.3739401202205	28.26	10784.09	
32.166658333333416	2/23/2009 13:54:24	0	37.16162764960397	28.008	10806.451	
32.33332500000008	2/23/2009 14:4:24	0	36.95117047804917	27.758	10828.684	
32.499991666666745	2/23/2009 14:14:24	0	36.742545610913695	27.51	10850.792	
32.66665833333341	2/23/2009 14:24:24	0	36.535730430914974	27.265	10872.776	
32.83332500000007	2/23/2009 14:34:24	0	36.330702690346186	27.022	10894.636	
32.99999166666674	2/23/2009 14:44:24	0	36.12744050348636	26.781	10916.373	
33.1666583333334	2/23/2009 14:54:24	0	35.92592233919902	26.542	10937.989	
33.333325000000066	2/23/2009 15:4:24	0	35.726127013713985	26.306	10959.485	
33.49999166666673	2/23/2009 15:14:24	0	35.52803368358666	26.072	10980.861	
33.666658333333395	2/23/2009 15:24:24	0	35.33162183883015	25.839	11002.119	
33.83332500000006	2/23/2009 15:34:24	0	35.13687129621471	25.61	11023.26	
33.99999166666672	2/23/2009 15:44:24	0	34.9437621927302	25.382	11044.284	
34.16665833333339	2/23/2009 15:54:24	0	34.75227497920664	25.156	11065.193	
34.33332500000005	2/23/2009 16:4:24	0	34.56239041408819	24.932	11085.987	
34.499991666666716	2/23/2009 16:14:24	0	34.37408955735689	24.711	11106.668	
34.66665833333338	2/23/2009 16:24:24	0	34.187353764600914	24.491	11127.236	
34.833325000000045	2/23/2009 16:34:24	0	34.00216468122436	24.274	11147.693	
34.99999166666671	2/23/2009 16:44:24	0	33.81850423679382	24.058	11168.039	
35.16665833333337	2/23/2009 16:54:24	0	33.636354639518316	23.845	11188.276	
35.33332500000004	2/23/2009 17:4:24	0	33.455698370858734	23.633	11208.404	
35.4999916666667	2/23/2009 17:14:24	0	33.276518180263444	23.423	11228.423	
35.666658333333366	2/23/2009 17:24:24	0	33.09879708002624	23.215	11248.336	
35.83332500000003	2/23/2009 17:34:24	0	32.92251834026362	23.009	11268.142	
35.999991666666695	2/23/2009 17:44:24	0	32.747665484007996	22.805	11287.843	
36.16665833333336	2/23/2009 17:54:24	0	32.574222282413594	22.603	11307.44	
36.33332500000002	2/23/2009 18:4:24	0	32.40217275007233	22.403	11326.933	
