! 04/05/96 CLINT MOG$DUB3:[PMG.CLINT.SHARK]T-2-74-EG.200;1
! MOG$DUB0:[PROGRAMS.REFMT]VMS2UNIX.EXE;1
! Raw magnetics data
! (Year,Day,Hour,Min,Sec,Tenths,MstObs)
! (i4.4,i3.3,3i2.2,i1.1,t16,f7.1)
!  
!*05/07/86 CLINT DUA0:[DATA.T274EG]T274EG.200;
! DUA0:[DATA.T274EG]TEMP.EXE;
! (dy,hr,min,sec,tenths,mst_obs)
! (i3.3,3i2.2,i1.1,t12,f7.1)
! from t274eg.redmags
!  
19742580145300 56689.0
19742580148480 56691.0
19742580152120 56693.0
19742580155300 56697.0
19742580158480 56700.0
19742600128480 56280.0
19742600132060 56235.0
19742600135120 56265.0
19742600138180 56298.0
19742600141240 56284.0
19742600144360 56251.0
19742600148000 56335.0
19742600151060 56381.0
19742600154120 56536.0
19742600158120 56554.0
19742600201180 56606.0
19742600204180 56575.0
19742600207240 56480.0
19742600210300 56538.0
19742600213300 56616.0
19742600216360 56508.0
19742600219360 56411.0
19742600222360 56525.0
19742600225420 56613.0
19742600228420 56612.0
19742600231420 56612.0
19742600234420 56610.0
19742600237420 56605.0
19742600240480 56598.0
19742600243480 56455.0
19742600246480 56555.0
19742600249480 56644.0
19742600252480 56665.0
19742600255480 56669.0
19742600258480 56588.0
19742600301480 56635.0
19742600304480 56607.0
19742600307480 56617.0
19742600310480 56640.0
19742600313540 56695.0
19742600316540 56716.0
19742600319540 56737.0
19742600322540 56795.0
19742600325540 56845.0
19742600328540 56814.0
19742600331540 56589.0
19742600335120 56720.0
19742600338360 56674.0
19742600341360 56510.0
19742600344360 56557.0
19742600347540 56477.0
19742600351180 56291.0
19742600354360 56330.0
19742600358000 56595.0
19742600401000 56669.0
19742600404180 56695.0
19742600407420 56517.0
19742600410420 56364.0
19742600414240 56267.0
19742600417240 56260.0
19742600422000 56364.0
19742600425000 56362.0
19742600428240 56309.0
19742600431480 55995.0
19742600435060 55978.0
19742600438300 56111.0
19742600441300 56125.0
19742600444480 56042.0
19742600448180 55982.0
19742600451360 56292.0
19742600455000 56283.0
19742600458180 56306.0
19742600501420 56345.0
19742600505000 56350.0
19742600508000 56412.0
19742600511240 56499.0
19742600514240 56563.0
19742600517420 56571.0
19742600520420 56555.0
19742600524060 56550.0
19742600527240 56528.0
19742600530240 56488.0
19742600533540 56437.0
19742600537120 56417.0
19742600540120 56405.0
19742600543360 56352.0
19742600546540 56149.0
19742600549540 56220.0
19742600553180 56307.0
19742600556360 56394.0
19742600559540 56466.0
19742600603120 56505.0
19742602054060 56660.0
19742602058060 56662.0
19742602101240 56666.0
19742602104360 56655.0
19742602108000 56656.0
19742602111060 56675.0
19742602114120 56675.0
19742602118060 56676.0
19742602121120 56680.0
19742602124180 56681.0
19742602127240 56684.0
19742602130300 56688.0
19742602136480 56688.0
19742602139540 56689.0
19742602143000 56688.0
19742602146060 56689.0
19742602149120 56686.0
19742602152180 56689.0
19742602155300 56687.0
19742602158360 56690.0
19742602201420 56688.0
19742602204480 56690.0
19742602207540 56690.0
19742602211000 56687.0
19742602214060 56684.0
19742602217120 56688.0
19742602220180 56687.0
19742602224000 56687.0
19742602227060 56686.0
19742602230120 56686.0
19742602236240 56684.0
19742602239300 56681.0
19742602242420 56682.0
19742602245540 56682.0
19742602249000 54311.0
19742602252120 56677.0
19742602255180 56678.0
19742602258180 56678.0
19742602301240 56677.0
19742602304300 56679.0
19742602307360 56678.0
19742602310420 56679.0
19742602313480 56678.0
19742602316540 56677.0
19742602320180 56679.0
19742602323240 56677.0
19742602326300 56678.0
19742602329360 56679.0
19742602332420 56678.0
19742602335480 56679.0
19742602338540 56683.0
19742602342000 56686.0
19742602345000 56686.0
19742602348060 56690.0
19742602351120 56694.0
19742602354180 56693.0
19742602357240 56693.0
19742610002300 56697.0
19742610005360 56701.0
19742610008420 56697.0
19742610011480 56701.0
19742610014540 56710.0
19742610017540 56709.0
19742610021000 56712.0
19742610024060 56717.0
19742610027120 56720.0
19742610030180 56727.0
19742610033240 56734.0
19742610036300 56736.0
19742610039420 56741.0
19742610042480 56740.0
19742610045540 56752.0
19742610049000 56741.0
19742610052000 56743.0
19742610055060 56743.0
19742610058120 56738.0
19742610101180 56737.0
19742610104240 56734.0
19742610107300 56733.0
19742610110360 56731.0
19742610113420 56731.0
19742610116480 56730.0
19742610119480 56731.0
19742610122540 56721.0
19742610126000 56725.0
19742610129060 56721.0
19742610132120 56714.0
19742610135180 56714.0
19742610138240 56715.0
19742610141300 56716.0
19742610144360 56715.0
19742610147360 56711.0
19742610150420 56709.0
19742610153480 56701.0
19742610156540 56700.0
19742610200000 56702.0
19742610203060 56703.0
19742610206120 56702.0
19742610209180 56701.0
19742610212240 56701.0
19742610215240 56701.0
19742610218300 56704.0
19742610221360 56704.0
19742610224420 56703.0
19742610227480 56705.0
19742610230540 56703.0
19742610234000 56704.0
19742610237060 53244.0
19742610240120 56706.0
19742610243180 56704.0
19742610246180 56711.0
19742610249240 56711.0
19742610252300 56711.0
19742610255360 56710.0
19742610258420 56710.0
19742610301480 56712.0
19742610304540 56711.0
19742610308000 56710.0
19742610311000 56708.0
19742610314060 56710.0
19742610317120 56707.0
19742610320180 56710.0
19742610323240 56708.0
19742610326300 56707.0
19742610329360 56707.0
19742610332420 56707.0
19742610335480 56712.0
19742610338480 56708.0
19742610341540 55070.0
19742610345000 56698.0
19742610348060 56695.0
19742610351120 56692.0
19742610354180 56691.0
19742610357300 56688.0
19742610400360 56687.0
19742610403360 56684.0
19742610406420 56678.0
19742610409480 56672.0
19742610412540 56665.0
19742610416000 56664.0
19742610419120 56661.0
19742610422180 56659.0
19742610425240 56661.0
19742610428240 56660.0
19742610431300 56657.0
19742610434360 56655.0
19742610437420 56653.0
19742610440480 56651.0
19742610443540 56656.0
19742610447000 56652.0
