
 Processing inputs for a 4 channel scanner,
 using 2 visual and 2 IR nadir pixel bands
 The first line of the config.asc file is:
 "4 MASTER Configuration for 07-927  05 Aug 2007  TC4 Deployment"

 Ch Sb Nb Vi Slp/Emis Intcpt   Left   Peak  Right   Fctr    Ssi
 05 05 16  0 0.068890 0.0000  0.633  0.656  0.692  0.1000 1546.61
 17 17 16  0 0.003870 0.0000  1.855  1.876  1.900  0.0100  140.11
 30 30 16  1 0.956340 0.0000  3.659  3.740  3.804  0.0060   11.90
 48 48 16  1 0.966670 0.0000 11.027 11.304 11.724  0.0100    0.15

 Record ScanLine -2007217-  INU_Lat    INU_Lon    Roll   Rad_05  Rad_17  Tmp_30  Tmp_48
 000170 00017068 13.511014  +8.46119  -81.52731  -0.522  33.756 0.83979  297.52  278.87
 000171 00017088 13.511906  +8.45587  -81.52560  -0.489  38.510  1.0488  297.27  276.73
 000172 00017108 13.512794  +8.45089  -81.52405  -0.396  39.612  1.3158  296.08  276.93
 000173 00017128 13.513686  +8.44574  -81.52233  -0.445  60.141  1.5248  299.65  270.08
 000174 00017148 13.514575  +8.43887  -81.52010  -0.572  74.952  1.5093  300.10  266.55
 000175 00017168 13.515464  +8.43338  -81.51839  -0.396  68.339  1.4125  298.37  268.14
 000176 00017188 13.516356  +8.42823  -81.51667  -0.528  50.703  1.1881  295.31  273.99
 000177 00017208 13.517244  +8.42308  -81.51512  -0.462  60.210  1.2655  296.32  272.27
 000178 00017228 13.518133  +8.41776  -81.51340  -0.401  63.034  1.1339  295.10  275.54
 000179 00017248 13.519025  +8.41089  -81.51118  -0.555  39.543 0.98298  295.09  279.03
 000180 00017268 13.519914  +8.40574  -81.50946  -0.478  43.056  1.0720  296.39  279.31
 000181 00017288 13.520805  +8.40042  -81.50774  -0.423  66.479  1.1997  297.29  273.50
 000182 00017308 13.521694  +8.39527  -81.50620  -0.533  83.150  1.1920  295.00  269.87
 000183 00017328 13.522583  +8.38995  -81.50448  -0.352  82.461  1.2539  296.48  268.83
 000184 00017348 13.523475  +8.38291  -81.50225  -0.500  80.946  1.3042  295.79  268.79
