NASA Ames Airborne Tracking 6-Channel Sunphotometer, AATS-6
ACE-Asia  4/22/2001
Date processed: 09-Nov-2002 by Jens Redemann, Version 4.0
This file contains aerosol optical depth, extinction, averaged vertically over  20.000  m, smoothed by aero_smooth =    0.990 
intervals; time period:  23.810 to 24.250 UT
NO2 [molec/cm2]: 2e+015
O3 [DU]: 333
Relative Std Dev Filter Aerosol[%]: 0.5
Relative Std Dev Filter H2O [%]: 5.0
Max m_aero: Inf
Max tau_aero: 3.0
Max tau_aero error: Inf
Min Alpha Angstrom: -0.03
H2O smoothing parameter: 0.99
aerosol wavelengths [10^-6 m]  0.380  0.451  0.526  1.021 
UT[h]     Lat[deg] Long[deg] RAF_ref_Altitude[km] p[hPa]  CWV[cm] Err[cm] D[g/m3] Err[g/m3] D_is[g/m3]
23.95139  33.92658 138.32478   3.833  634.66  0.0994  0.1159  0.0814  0.1248   0.3570
23.95056  33.92655 138.31981   3.848  633.34  0.0998  0.1160  0.1290  0.1191   0.3535
23.94931  33.92579 138.31245   3.874  631.23  0.0953  0.1155  0.2149  0.0977   0.3519
23.94806  33.92443 138.30525   3.899  629.45  0.0918  0.1151  0.2994  0.0959   0.3544
23.94722  33.92333 138.30054   3.914  628.51  0.0977  0.1157  0.3471  0.1183   0.3596
23.94597  33.92163 138.29346   3.936  626.73  0.0963  0.1156  0.4163  0.1158   0.3727
23.94472  33.91988 138.28639   3.958  624.93  0.0923  0.1151  0.4783  0.1115   0.3894
23.94139  33.91519 138.26753   4.033  619.08  0.0747  0.1131  0.6124  0.0706   0.4466
23.94056  33.91404 138.26282   4.053  617.36  0.0734  0.1130  0.6289  0.0646   0.4439
23.93806  33.91060 138.24867   4.109  612.98  0.0723  0.1128  0.6609  0.0685   0.4141
23.93681  33.90890 138.24159   4.132  611.04  0.0727  0.1129  0.6723  0.0822   0.4259
23.93556  33.90722 138.23447   4.155  609.26  0.0774  0.1134  0.6858  0.0900   0.4570
23.93431  33.90557 138.22731   4.177  607.48  0.0823  0.1140  0.7016  0.1019   0.5181
23.93306  33.90393 138.22011   4.199  605.72  0.0828  0.1140  0.7184  0.1015   0.5963
23.93222  33.90286 138.21530   4.214  604.47  0.0763  0.1133  0.7285  0.0881   0.6542
23.93139  33.90179 138.21048   4.231  603.36  0.0711  0.1127  0.7354  0.0755   0.7078
23.93056  33.90073 138.20564   4.249  601.95  0.0671  0.1122  0.7374  0.0682   0.7490
23.92972  33.89968 138.20081   4.267  600.59  0.0664  0.1121  0.7341  0.0664   0.7668
23.92847  33.89812 138.19354   4.293  598.58  0.0641  0.1118  0.7205  0.0652   0.7157
23.92722  33.89658 138.18628   4.320  596.55  0.0628  0.1116  0.6974  0.0633   0.5911
23.92639  33.89555 138.18143   4.336  595.33  0.0603  0.1113  0.6793  0.0675   0.5025
23.92556  33.89453 138.17658   4.352  593.96  0.0603  0.1113  0.6587  0.0679   0.4234
23.92472  33.89352 138.17171   4.369  592.78  0.0557  0.1107  0.6352  0.0604   0.3541
23.92347  33.89200 138.16440   4.394  590.95  0.0546  0.1106  0.5979  0.0598   0.2877
23.92222  33.89048 138.15707   4.419  589.13  0.0525  0.1103  0.5595  0.0559   0.2874
23.92139  33.88947 138.15218   4.436  587.81  0.0556  0.1107  0.5359  0.0605   0.3028
23.92056  33.88846 138.14728   4.452  586.49  0.0549  0.1106  0.5147  0.0606   0.3214
23.91972  33.88746 138.14238   4.469  585.31  0.0542  0.1105  0.4956  0.0584   0.3409
23.91847  33.88594 138.13503   4.495  583.36  0.0539  0.1105  0.4719  0.0570   0.3716
23.91722  33.88443 138.12767   4.522  581.40  0.0547  0.1105  0.4544  0.0556   0.4032
23.91639  33.88342 138.12276   4.540  580.04  0.0536  0.1104  0.4465  0.0534   0.4246
23.91556  33.88242 138.11783   4.559  578.64  0.0515  0.1101  0.4408  0.0501   0.4427
23.91472  33.88141 138.11290   4.578  577.20  0.0511  0.1101  0.4373  0.0485   0.4573
23.91389  33.88041 138.10799   4.597  575.83  0.0496  0.1099  0.4357  0.0473   0.4697
23.91306  33.87940 138.10306   4.616  574.47  0.0506  0.1100  0.4358  0.0502   0.4791
23.91222  33.87840 138.09811   4.633  573.15  0.0496  0.1099  0.4370  0.0509   0.4855
23.91139  33.87740 138.09317   4.651  571.82  0.0484  0.1097  0.4387  0.0497   0.4875
23.91056  33.87639 138.08823   4.669  570.52  0.0473  0.1095  0.4402  0.0493   0.4842
23.90972  33.87538 138.08328   4.686  569.29  0.0476  0.1096  0.4413  0.0497   0.4771
