Dataset:              EMAP Lakes Bird Names
File Name:            brdnam
Date Created:         03/13/97
# Variables:          9
# Header Records:     19
# Data Records:       217
Missing Value Symbol: .

Variables:    AOU              Amer. Ornith. Union code
              DIET             Dietary guild
              FEED             Foraging guild
              NAME_COM         common name
              NEOTROP          Neotrophic Migr. (NE) or Resident (RE)
              ORDER            Taxonomic Order
              SCIENTIF         Genus and species
              SPECIES          EMAP code for bird species
              TOLER            Tolerant (TO) or intolerant (IN)

"AOU","DIET","FEED","NAME_COM","NEOTROP","ORDER","SCIENTIF","SPECIES","TOLER" 
3160,"SE","GG","Mourning Dove","RE","Columbiformes","Zenaida macroura","MODO","TO" 
6790,"IN","FG","Mourning Warbler","NE","Passeriformes","Oporornis philadelphia","MOWA","IN" 
1782,"GR","SU","Mute Swan","RE","Anseriformes","Cygnus olor","MUSW","IN" 
6450,"IN","FG","Nashville Warbler","NE","Passeriformes","Vermivora ruficapilla","NAWA","IN" 
2890,"GR","GG","Northern Bobwhite","RE","Galliformes","Colinus virginianus","NOBO","IN" 
5930,"IN","GG","Northern Cardinal","RE","Passeriformes","Cardinalis cardinalis","NOCA","IN" 
4120,"IN","GG","Northern Flicker","RE","Piciformes","Colaptes auratus","NOFL","IN" 
3310,"SM","LP","Northern Harrier","RE","Falconiformes","Circus cyaneus","NOHA","IN" 
7030,"IN","GG","Northern Mockingbird","RE","Passeriformes","Mimus polyglottos","NOMO","IN" 
6480,"IN","FG","Northern Parula","NE","Passeriformes","Parula americana","NOPA","IN" 
6750,"AI","GG","Northern Waterthrush","NE","Passeriformes","Seiurus noveboracensis","NOWA","IN" 
6170,"IN","AF","Northern Rough-winged Swallow","NE","Passeriformes","Stelidopteryx serripennis","NRSW","IN" 
5060,"IN","FG","Orchard Oriole","NE","Passeriformes","Icterus spurius","OROR","IN" 
4590,"IN","HA","Olive-sided Flycatcher","NE","Passeriformes","Contopus borealis","OSFL","IN" 
3640,"FI","HD","Osprey","RE","Falconiformes","Pandion haliaetus","OSPR","IN" 
6740,"IN","GG","Ovenbird","NE","Passeriformes","Seiurus aurocapillus","OVEN","IN" 
6720,"IN","FG","Palm Warbler","NE","Passeriformes","Dendroica palmarum","PAWA","IN" 
60,"AI","SD","Pied-billed Grebe","RE","Podicipediformes","Podilymbus podiceps","PBGR","IN" 
3560,"BI","AP","Peregrine Falcon","NE","Falconiformes","Falco peregrinus","PEFA","IN" 
6260,"IN","HG","Philadelphia Vireo","NE","Passeriformes","Vireo Philadelphicus","PHVI","IN" 
5330,"SE","FG","Pine Siskin","RE","Passeriformes","Carduelis pinus","PISI","IN" 
6710,"IN","BG","Pine Warbler","RE","Passeriformes","Dendroica pinus","PIWA","IN" 
4050,"IN","BG","Pileated Woodpecker","RE","Piciformes","Dryocopus pileatus","PIWO","IN" 
6730,"IN","FG","Prairie Warbler","NE","Passeriformes","Dendroica discolor","PRWA","IN" 
5170,"SE","GG","Purple Finch","RE","Passeriformes","Carpodacus purpureus","PUFI","IN" 
6110,"IN","AF","Purple Martin","NE","Passeriformes","Progne subis","PUMA","IN" 
6370,"IN","BG","Prothonotary Warbler","NE","Passeriformes","Protonotaria citrea","PYWA","IN" 
5950,"IN","FG","Rose-breasted Grosbeak","NE","Passeriformes","Pheucticus ludovicianus","RBGR","IN" 
540,"OM","GG","Ring-billed Gull","RE","Charadriiformes","Larus delawarensis","RBGU","TO" 
1300,"FI","SD","Red-breasted Merganser","RE","Anseriformes","Mergus serrator","RBME","IN" 
7280,"IN","BG","Red-breasted Nuthatch","RE","Passeriformes","Sitta canadensis","RBNU","IN" 
4090,"IN","BG","Red-bellied Woodpecker","RE","Piciformes","Melanerpes carolinus","RBWO","IN" 
7490,"IN","FG","Ruby-crowned Kinglet","RE","Passeriformes","Regulus calendula","RCKI","IN" 
6240,"IN","HG","Red-eyed Vireo","NE","Passeriformes","Vireo olivaceus","REVI","IN" 
4060,"OM","HA","Red-headed Woodpecker","RE","Piciformes","Melanerpes erythrocephalus","RHWO","IN" 
1500,"GR","SD","Ring-necked Duck","RE","Anseriformes","Aythya collaris","RNDU","IN" 
