Header:
Instrument	ASRC_U111
Source	Sun
Location	TMTF
Environment	Outdoors
Year	2004
Day	204
Date	2004JUL22
Operation	Discrete
Measurement_purpose	Irradiance
Number_of_scans	1
Number_of_columns	4
Number_of_rows	701
Start_time	14.49984	[UTC]
Stop_time	14.78262	[UTC]
Start_wavelength	290.00	[nm]
Stop_wavelength	360.00	[nm]
Increment_wavelength	0.10	[nm]
Dark_signal	0.54189	[p_s^-1]
ForeOptic_temperature	27.94	[ns]
Front_temperature	27.94	[ns]
Back_temperature	23.06	[ns]
Inside_temperature	22.61	[ns]
Shelter_temperature	17.47	[ns]
PSUnit_temperature	21.26	[ns]
AirCond_temperature	19.66	[ns]
Outside_temperature	24.55	[ns]
Comments	none
Formatted_file	2004204f05.u11
Responsivity_file	03352Rsm.u11
Analysis_program	Calc_Irrad.c
Labels:
Wavelength	Irradiance	dE(R)/E	dE(S)/E
[nm]	[mW_m^-2_nm^-1]
Data:
308.221	14.65998	0.0010	0.0000
308.321	16.55606	0.0009	0.0000
308.421	25.72371	0.0008	0.0000
308.521	26.96841	0.0007	0.0000
308.621	24.02367	0.0008	0.0000
308.721	18.90235	0.0009	0.0000
308.821	18.83708	0.0009	0.0000
308.921	22.78132	0.0008	0.0000
309.021	19.84931	0.0009	0.0000
309.121	15.49084	0.0010	0.0000
309.221	17.06335	0.0009	0.0000
309.321	12.29157	0.0011	0.0000
309.421	24.16220	0.0008	0.0000
309.521	32.23209	0.0007	0.0000
309.621	21.73639	0.0008	0.0000
309.721	19.68215	0.0009	0.0000
309.821	30.71131	0.0007	0.0000
309.921	24.40620	0.0008	0.0000
310.021	13.04340	0.0011	0.0000
310.121	16.29235	0.0009	0.0000
310.221	22.31237	0.0008	0.0000
310.321	37.36448	0.0006	0.0000
310.421	39.93394	0.0006	0.0000
310.521	37.66417	0.0006	0.0000
310.621	40.69732	0.0006	0.0000
310.721	44.13538	0.0006	0.0000
310.821	52.21496	0.0005	0.0000
310.921	47.73839	0.0006	0.0000
311.021	40.23581	0.0006	0.0000
311.121	47.36425	0.0006	0.0000
311.221	48.74241	0.0005	0.0000
311.321	48.99695	0.0005	0.0000
311.421	39.51620	0.0006	0.0000
311.521	52.35952	0.0005	0.0000
311.621	43.72507	0.0006	0.0000
311.721	41.02438	0.0006	0.0000
311.821	42.05732	0.0006	0.0000
311.921	41.99389	0.0006	0.0000
312.021	41.42262	0.0006	0.0000
312.121	43.47791	0.0006	0.0000
312.221	42.69921	0.0006	0.0000
312.321	56.60247	0.0005	0.0000
312.421	64.85485	0.0005	0.0000
312.521	43.86224	0.0006	0.0000
312.621	50.62883	0.0005	0.0000
312.721	60.66481	0.0005	0.0000
312.821	57.18716	0.0005	0.0000
312.921	60.45065	0.0005	0.0000
313.021	56.43439	0.0005	0.0000
313.121	60.04073	0.0005	0.0000
313.221	54.76320	0.0005	0.0000
313.321	55.29340	0.0005	0.0000
313.421	45.27497	0.0006	0.0000
313.521	59.44549	0.0005	0.0000
313.621	54.67736	0.0005	0.0000
313.721	63.97325	0.0005	0.0000
313.821	75.41232	0.0004	0.0000
313.921	74.74361	0.0004	0.0000
314.021	69.17403	0.0005	0.0000
314.121	81.28136	0.0004	0.0000
314.221	76.84352	0.0004	0.0000
314.321	47.54655	0.0006	0.0000
314.421	29.92365	0.0007	0.0000
314.521	54.86079	0.0005	0.0000
314.621	73.28738	0.0004	0.0000
314.721	63.51184	0.0005	0.0000
314.821	78.16016	0.0004	0.0000
314.921	93.39943	0.0004	0.0000
315.021	75.77727	0.0004	0.0000
315.121	83.35890	0.0004	0.0000
315.221	79.06089	0.0004	0.0000
315.321	82.99963	0.0004	0.0000
315.421	69.17184	0.0005	0.0000
315.521	72.12700	0.0005	0.0000
315.621	68.58973	0.0005	0.0000
315.721	45.31077	0.0006	0.0000
315.821	47.69563	0.0006	0.0000
315.921	46.78867	0.0006	0.0000
316.021	58.08468	0.0005	0.0000
316.121	54.03948	0.0005	0.0000
316.221	70.50018	0.0005	0.0000
316.321	90.79271	0.0004	0.0000
316.421	78.26476	0.0004	0.0000
316.521	85.66643	0.0004	0.0000
316.621	79.03905	0.0004	0.0000
316.721	110.42175	0.0004	0.0000
316.821	82.06691	0.0004	0.0000
316.921	87.83665	0.0004	0.0000
317.021	108.33605	0.0004	0.0000
317.121	119.40462	0.0004	0.0000
317.221	119.38239	0.0004	0.0000
317.321	114.27695	0.0004	0.0000
317.421	110.50061	0.0004	0.0000
317.521	95.56899	0.0004	0.0000
