Begin Header
	version	6.0.0
	Date	Sat Oct 02 01:22:16 EDT 2004
	Image File	C:\My Documents\Results\LBL samples\2004_09_28_E28_Salt strtess\E28_Qiang_4_Cy3_12935517.tif
	Page	0
	Page Name	
	Inverted	false
	Begin Field Dimensions
		Field	Metarows	Metacols	Rows	Cols
		A	8	4	16	18
	End Field Dimensions
	Begin Measurement parameters
		Segmentation Method	auto
		Signal Low	0.0
		Signal High	0.0
		Background Low	0.0
		Background High	0.0
		Background Buffer	3.0
		Background Width	3.0
	End Measurement parameters
	Begin Alerts
		Control Type	Minimum threshold	If tested	Percentage allowed	If failed	Maximum threshold	If tested	Percentage allowed	If failed	CV threshold	If tested	If failed
	End Alerts
	Begin Quality Flags
		Begin Flagging Settings
			Empty Spots	true	Threshold:	2.0
			Poor Spots	true
			Begin Poor Spots Parameters
				Background contamination flag	true	Threshold:	0.9995
				Background tested against subgrid data only	true
				Signal contamination flag	false	Threshold:	0.9995
				Signal contamination test connected to background contamination threshold	false
				Ignored percentage flag	true	Threshold:	25.0
				Open perimeter flag	true	Threshold:	25.0
				Shape regularity flag	true	Threshold:	0.6
				Area To Perimeter Ratio flag	false	Threshold:	0.65
				Offset flag	true	Threshold:	60.0
			End Poor Spots Parameters
			Negative Spots	true
		End Flagging Settings
		Begin Flagged spots
			# of Empty Spots: 2141
			# of Poor Spots: 95
			# of Negative Spots: 0
			# of Manually Flagged Spots: 0
		End Flagged spots
		
	End Quality Flags
End Header
Begin Raw Data
	Field	Meta Row	Meta Column	Row	Column	Gene ID	Flag	Signal Mean	Background Mean	Signal Median	Background Median	Signal Mode	Background Mode	Signal Area	Background Area	Signal Total	Background Total	Signal Stdev	Background Stdev	Shape Regularity	Ignored Area	Spot Area	Ignored Median	Area To Perimeter	Open Perimeter	XCoord	YCoord	Diameter	Position offset	Offset X	Offset Y	Expected X	Expected Y	CM-X	CM-Y	CM Offset	CM Offset-X	CM Offset-Y	Min Diam	Max Diam	Control	Failed Control	Background contamination present	Signal contamination present	Ignored % failed	Open perimeter failed	Shape regularity failed	Perim-to-area failed	Offset failed	Empty spot	Negative spot	Selected spot	Saturated spot
	A	1	1	2	3	ORF01517	0	8763.372	1109.0244	8567.5	920.0	8498.3701	929.6898	94.0	368.0	823757.0	408121.0	2666.7248	1109.1635	0.8392	0.0	94.0	0.0	1.0	0.0	229.5	188.5	11.0	0.4647	0.0455	0.4625	229.4544	188.0374	229.3936	188.1063	0.0919	-0.0608	0.0688	10.5331	11.4871		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	4	ORF01473	0	9333.9804	1008.54	8565.5	884.0	8548.5937	616.765	104.0	337.0	970734.0	339878.0	3574.0637	539.2963	0.6666	0.0	104.0	0.0	1.0	0.0	250.5	187.5	11.0	0.1486	-0.1473	0.0192	250.6473	187.4807	250.5769	187.2115	0.2782	-0.0704	-0.2691	10.8553	12.317		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	5	ORF01591	0	6777.8999	987.2463	6194.5	866.0	6243.143	873.6635	100.0	341.0	677790.0	336651.0	3000.017	698.9844	0.8695	0.0	100.0	0.0	1.0	0.0	271.5	186.5	11.0	0.4565	-0.1568	-0.4287	271.6568	186.9287	271.5199	186.6399	0.3195	-0.1368	-0.2887	10.8205	11.939		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	6	ORF01554	0	6491.0502	917.4104	6248.0	814.0	6285.9375	669.8132	99.0	363.0	642614.0	333020.0	2210.3347	492.698	0.8999	0.0	99.0	0.0	1.0	0.0	292.5	186.5	11.0	0.2534	0.2269	0.1128	292.273	186.3871	293.0	186.2424	0.7411	0.7269	-0.1447	10.9981	11.5697		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	7	ORF00929	0	8231.4267	883.9918	7899.0	837.5	8192.2138	519.3928	96.0	366.0	790217.0	323541.0	2850.31	379.4323	0.8495	0.0	96.0	0.0	1.0	0.0	313.5	186.5	11.0	0.6762	-0.0724	0.6723	313.5724	185.8276	314.1875	185.7395	0.6213	0.615	-0.088	10.7266	11.509		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	8	ORF00890	0	5833.2631	923.8909	5784.0	826.0	6086.9614	680.2142	95.0	367.0	554160.0	339068.0	1968.1417	502.8035	0.8482	0.0	95.0	0.0	1.0	0.0	334.5	185.5	11.0	0.3954	-0.3211	0.2306	334.8211	185.2693	335.0736	184.6421	0.6761	0.2524	-0.6272	10.5517	11.5717		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	9	ORF00852	0	6520.8662	946.3287	6386.0	862.0	6415.9687	595.8214	97.0	365.0	632524.0	345410.0	2705.5964	442.4671	0.8738	0.0	97.0	0.0	1.0	0.0	355.5	184.5	11.0	0.3269	0.2301	-0.2321	355.2698	184.7321	355.9484	184.4742	0.726	0.6786	-0.2579	10.722	11.6309		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	10	ORF00818	0	8918.5107	1009.0057	8804.0	889.0	9431.2919	782.1311	94.0	347.0	838340.0	350125.0	2858.4877	604.281	0.8392	0.0	94.0	0.0	1.0	0.0	376.5	183.5	11.0	0.9234	-0.6484	-0.6573	377.1484	184.1573	376.1808	183.6276	1.1031	-0.9676	-0.5297	10.4526	11.5642		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	11	ORF00925	0	7484.019	1016.2767	7123.0	946.5	7112.1787	602.6292	105.0	336.0	785822.0	341469.0	2780.9912	440.7099	0.9292	0.0	105.0	0.0	1.0	0.0	397.5	183.5	11.0	0.1242	-0.0227	-0.1221	397.5227	183.6221	398.0476	183.0952	0.7436	0.5248	-0.5269	11.4042	11.8646		0	0	0	0	0	0	0	0	0	0	0	0
	A	1	1	2	12	ORF00888	0	3112.9255	946.8307	2721.5	844.5	2698.8332	604.1675	94.0	390.0	292615.0	369264.0	1273.9088	476.1021	0.8392	0.0	94.0	0.0	1.0	0.0	418.5	183.5	11.0	0.7835	0.6667	0.4114	417.8332	183.0885	418.4893	183.1063	0.6563	0.6561	0.0178	10.7369	11.2897		0	0	0	0	0	0	0	0	0	0	0	0
