23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 57180  595.79   0.055
 57181  595.39   0.055
 57182  594.98   0.054
 57183  594.58   0.056
 57184  594.18   0.055
 57185  593.77   0.053
 57186  593.37   0.055
 57187  592.97   0.054
 57188  592.57   0.054
 57189  592.17   0.054
 57190  591.78   0.054
 57191  591.39   0.055
 57192  590.99   0.054
 57193  590.60   0.055
 57194  590.21   0.054
 57195  589.81   0.052
 57196  589.42   0.053
 57197  589.03   0.053
 57198  588.64   0.054
 57199  588.31   0.052
 57200  587.99   0.052
 57201  587.67   0.052
 57202  587.35   0.051
 57203  587.03   0.050
 57204  586.70   0.050
 57205  586.38   0.050
 57206  586.06   0.047
 57207  585.74   0.048
 57208  585.41   0.047
 57209  585.00   0.048
 57210  584.58   0.047
 57211  584.17   0.047
 57212  583.75   0.047
 57213  583.33   0.047
 57214  582.92   0.047
 57215  582.50   0.046
 57216  582.09   0.046
 57217  581.67   0.046
 57218  581.25   0.047
 57219  580.95   0.047
 57220  580.65   0.047
 57221  580.35   0.047
 57222  580.05   0.047
 57223  579.75   0.046
 57224  579.44   0.047
 57225  579.14   0.044
 57226  578.84   0.042
 57227  578.54   0.044
 57228  578.23   0.043
 57229  577.90   0.043
 57230  577.56   0.043
 57231  577.22   0.043
 57232  576.88   0.043
 57233  576.54   0.044
 57234  576.20   0.043
 57235  575.86   0.041
 57236  575.52   0.041
 57237  575.18   0.041
 57238  574.84   0.041
 57239  574.47   0.040
 57240  574.09   0.040
 57241  573.71   0.039
 57242  573.34   0.038
 57243  572.96   0.038
 57244  572.58   0.038
 57245  572.21   0.038
 57246  571.83   0.038
 57247  571.45   0.037
 57248  571.08   0.037
 57249  570.72   0.036
 57250  570.37   0.037
 57251  570.02   0.038
 57252  569.66   0.038
 57253  569.31   0.036
 57254  568.96   0.037
 57255  568.60   0.037
 57256  568.25   0.037
 57257  567.90   0.036
 57258  567.53   0.036
 57259  567.14   0.036
 57260  566.73   0.036
 57261  566.33   0.036
 57262  565.92   0.036
 57263  565.52   0.036
 57264  565.11   0.036
 57265  564.70   0.036
 57266  564.30   0.037
 57267  563.89   0.036
 57268  563.47   0.036
 57269  563.10   0.037
 57270  562.72   0.037
 57271  562.34   0.036
 57272  561.96   0.037
 57273  561.58   0.037
 57274  561.20   0.038
 57275  560.82   0.036
 57276  560.44   0.036
 57277  560.06   0.037
 57278  559.67   0.038
 57279  559.32   0.038
 57280  558.97   0.038
 57281  558.61   0.039
 57282  558.26   0.039
 57283  557.91   0.039
 57284  557.55   0.040
 57285  557.20   0.039
 57286  556.84   0.039
 57287  556.49   0.039
 57288  556.13   0.039
 57289  555.75   0.037
 57290  555.37   0.038
 57291  554.99   0.038
 57292  554.60   0.038
 57293  554.22   0.039
