23  1001
Margitan, J. J., Sen, B.
Jet Propulsion Laboratory (JPL)
Ozone  (Balloon UV in situ Photometer)
BOS
1 1
2003 09 16    2003 10 13
0
Elapsed time in UT seconds from 0 hours on the given flight date
2
1.0 1.0
 9999.99 99.999
Pressure (mb)
Ozone Mixing Ratio (ppm)
  1

  6
****** Preliminary Data ******
Data from the Dual Beam, in situ UV Photometer flown aboard the OMS 
in situ gondola from Ft. Sumner NM  34.5N, 255.8E.
Pressure and Ozone retrieved from on-board data.
Estimated ozone accuracy is 5%.
 UTsec   P(mb)  O3(ppm)
 66709   16.71   7.199
 66710   16.71   7.174
 66711   16.71   7.208
 66712   16.71   7.229
 66713   16.71   7.272
 66714   16.71   7.226
 66715   16.71   7.239
 66716   16.71   7.221
 66717   16.72   7.190
 66718   16.71   7.169
 66719   16.73   7.185
 66720   16.73   7.183
 66721   16.74   7.150
 66722   16.75   7.185
 66723   16.76   7.168
 66724   16.77   7.128
 66725   16.78   7.148
 66726   16.79   7.213
 66727   16.80   7.166
 66728   16.80   7.193
 66729   16.81   7.131
 66730   16.81   7.176
 66731   16.81   7.156
 66732   16.81   7.156
 66733   16.81   7.192
 66734   16.81   7.191
 66735   16.81   7.169
 66736   16.81   7.170
 66737   16.81   7.187
 66738   16.80   7.193
 66739   16.81   7.197
 66740   16.81   7.224
 66741   16.81   7.213
 66742   16.81   7.246
 66743   16.81   7.302
 66744   16.81   7.300
 66745   16.81   7.320
 66746   16.81   7.302
 66747   16.81   7.329
 66748   16.80   7.327
 66749   16.82   7.209
 66750   16.84   7.265
 66751   16.85   7.225
 66752   16.86   7.201
 66753   16.88   7.243
 66754   16.89   7.220
 66755   16.90   7.232
 66756   16.92   7.222
 66757   16.93   7.221
 66758   16.95   7.215
 66759   16.95   7.246
 66760   16.95   7.217
 66761   16.95   7.181
 66762   16.96   7.209
 66763   16.96   7.200
 66764   16.96   7.222
 66765   16.97   7.186
 66766   16.97   7.216
 66767   16.97   7.223
 66768   16.96   7.246
 66769   16.98   7.255
 66770   16.98   7.235
 66771   16.99   7.259
 66772   16.99   7.233
 66773   17.00   7.273
 66774   17.00   7.255
 66775   17.00   7.252
 66776   17.01   7.248
 66777   17.01   7.215
 66778   17.02   7.201
 66779   17.02   7.212
 66780   17.02   7.226
 66781   17.03   7.246
 66782   17.03   7.253
 66783   17.04   7.223
 66784   17.04   7.230
 66785   17.05   7.229
 66786   17.05   7.227
 66787   17.05   7.246
 66788   17.05   7.250
 66789   17.06   7.209
 66790   17.07   7.229
 66791   17.07   7.205
 66792   17.08   7.204
 66793   17.09   7.180
 66794   17.09   7.172
 66795   17.10   7.214
 66796   17.10   7.205
 66797   17.11   7.189
 66798   17.11   7.178
 66799   17.11   7.254
 66800   17.12   7.224
 66801   17.12   7.212
 66802   17.12   7.258
 66803   17.12   7.204
 66804   17.12   7.207
 66805   17.13   7.203
 66806   17.13   7.185
 66807   17.13   7.210
 66808   17.12   7.206
 66809   17.14   7.235
 66810   17.15   7.222
 66811   17.17   7.238
 66812   17.18   7.239
 66813   17.19   7.220
 66814   17.20   7.207
 66815   17.21   7.151
 66816   17.22   7.181
 66817   17.23   7.153
 66818   17.25   7.163
 66819   17.25   7.229
 66820   17.25   7.208
 66821   17.25   7.230
 66822   17.25   7.251
 66823   17.26   7.251
 66824   17.26   7.251
 66825   17.26   7.202
 66826   17.26   7.211
 66827   17.27   7.262
 66828   17.27   7.284
 66829   17.28   7.215
 66830   17.28   7.227
 66831   17.29   7.232
 66832   17.30   7.179
 66833   17.31   7.191
 66834   17.31   7.186
 66835   17.32   7.176
 66836   17.33   7.188
 66837   17.33   7.187
 66838   17.34   7.197
 66839   17.35   7.190
 66840   17.36   7.218
 66841   17.36   7.201
 66842   17.37   7.228
 66843   17.38   7.240
 66844   17.39   7.210
 66845   17.39   7.215
 66846   17.40   7.197
 66847   17.41   7.216
 66848   17.42   7.211
 66849   17.42   7.149
 66850   17.43   7.175
 66851   17.44   7.165
 66852   17.45   7.142
 66853   17.46   7.160
 66854   17.47   7.151
 66855   17.48   7.170
 66856   17.49   7.161
 66857   17.50   7.172
 66858   17.51   7.169
 66859   17.52   7.163
 66860   17.53   7.155
 66861   17.55   7.124
 66862   17.56   7.135
 66863   17.57   7.132
 66864   17.59   7.100
 66865   17.60   7.139
 66866   17.61   7.123
 66867   17.62   7.113
 66868   17.63   7.100
 66869   17.65   7.088
 66870   17.67   7.085
 66871   17.68   7.102
 66872   17.69   7.077
 66873   17.71   7.101
 66874   17.72   7.062
 66875   17.74   7.093
 66876   17.75   7.075
 66877   17.76   7.057
 66878   17.78   7.039
 66879   17.79   6.974
 66880   17.79   7.005
 66881   17.80   7.009
 66882   17.81   6.978
 66883   17.82   7.009
 66884   17.82   7.007
 66885   17.83   7.025
 66886   17.84   7.007
 66887   17.85   7.036
 66888   17.85   7.035
 66889   17.86   6.985
 66890   17.87   7.013
 66891   17.87   6.986
 66892   17.88   6.986
 66893   17.88   6.987
 66894   17.89   6.975
 66895   17.90   6.991
 66896   17.90   7.005
 66897   17.91   7.019
 66898   17.92   7.032
 66899   17.93   7.004
 66900   17.94   7.040
 66901   17.96   7.034
 66902   17.97   7.043
 66903   17.98   7.002
 66904   18.00   7.011
 66905   18.01   7.006
 66906   18.02   7.001
 66907   18.03   7.003
 66908   18.04   7.000
 66909   18.05   7.061
 66910   18.05   7.056
 66911   18.05   7.065
 66912   18.05   7.109
 66913   18.04   7.077
 66914   18.04   7.088
 66915   18.04   7.058
 66916   18.04   7.060
 66917   18.04   7.057
 66918   18.04   7.058
 66919   18.05   7.093
 66920   18.06   7.068
 66921   18.07   7.097
 66922   18.08   7.085
 66923   18.09   7.086
 66924   18.10   7.074
 66925   18.11   7.049
 66926   18.12   7.057
 66927   18.13   7.086
 66928   18.13   7.101
 66929   18.15   7.032
 66930   18.15   7.058
 66931   18.16   7.045
 66932   18.16   7.018
 66933   18.17   7.011
 66934   18.17   6.996
 66935   18.18   6.989
 66936   18.19   7.015
 66937   18.19   7.021
 66938   18.20   7.040
 66939   18.20   7.045
 66940   18.21   7.033
 66941   18.21   7.049
 66942   18.22   7.032
 66943   18.22   7.030
 66944   18.23   7.040
 66945   18.24   7.043
 66946   18.24   7.005
 66947   18.25   7.027
 66948   18.25   7.010
 66949   18.26   6.992
 66950   18.27   7.023
 66951   18.27   7.032
 66952   18.28   7.035
 66953   18.28   7.046
 66954   18.29   7.036
 66955   18.29   7.026
 66956   18.30   7.043
 66957   18.31   7.046
 66958   18.30   7.057
 66959   18.31   7.012
 66960   18.32   6.998
 66961   18.32   7.012
 66962   18.32   6.953
 66963   18.33   6.988
 66964   18.33   7.001
 66965   18.33   7.033
 66966   18.33   6.992
 66967   18.34   7.031
 66968   18.34   7.017
 66969   18.35   7.062
 66970   18.35   7.053
 66971   18.36   7.024
 66972   18.37   7.074
 66973   18.38   7.079
 66974   18.38   7.083
 66975   18.39   7.033
 66976   18.40   7.050
 66977   18.40   7.014
 66978   18.40   7.014
 66979   18.42   6.957
 66980   18.42   6.975
 66981   18.43   6.967
 66982   18.44   6.940
 66983   18.44   6.952
 66984   18.45   6.977
 66985   18.46   6.969
 66986   18.46   6.967
 66987   18.47   6.979
 66988   18.47   6.982
 66989   18.48   6.975
 66990   18.49   6.984
 66991   18.49   7.001
 66992   18.49   6.991
 66993   18.50   6.982
 66994   18.50   6.946
 66995   18.51   6.968
 66996   18.51   6.945
 66997   18.52   6.955
 66998   18.52   6.942
 66999   18.52   6.937
 67000   18.53   6.950
 67001   18.53   6.950
 67002   18.54   6.957
 67003   18.54   6.910
 67004   18.54   6.923
 67005   18.55   6.937
 67006   18.55   6.938
 67007   18.55   6.963
 67008   18.55   6.971
 67009   18.57   6.948
 67010   18.57   6.946
 67011   18.58   6.965
 67012   18.59   6.930
 67013   18.60   6.935
 67014   18.61   6.925
 67015   18.61   6.922
 67016   18.62   6.921
 67017   18.63   6.907
 67018   18.63   6.902
 67019   18.64   6.921
 67020   18.65   6.917
 67021   18.65   6.915
 67022   18.66   6.932
 67023   18.66   6.924
 67024   18.67   6.895
 67025   18.67   6.918
 67026   18.68   6.921
 67027   18.68   6.898
 67028   18.69   6.893
 67029   18.69   6.867
 67030   18.70   6.876
 67031   18.70   6.886
 67032   18.70   6.869
 67033   18.71   6.890
 67034   18.71   6.860
 67035   18.72   6.862
 67036   18.72   6.890
 67037   18.73   6.858
 67038   18.72   6.865
 67039   18.74   6.856
 67040   18.75   6.871
 67041   18.75   6.869
 67042   18.76   6.880
 67043   18.77   6.838
 67044   18.78   6.859
 67045   18.79   6.867
 67046   18.80   6.884
 67047   18.80   6.876
 67048   18.80   6.882
 67049   18.82   6.824
 67050   18.83   6.866
 67051   18.84   6.869
 67052   18.85   6.852
 67053   18.86   6.828
 67054   18.87   6.848
 67055   18.88   6.842
 67056   18.89   6.812
 67057   18.89   6.853
 67058   18.89   6.847
 67059   18.91   6.876
 67060   18.91   6.869
 67061   18.92   6.888
 67062   18.93   6.894
 67063   18.93   6.906
 67064   18.94   6.853
 67065   18.94   6.885
 67066   18.95   6.857
 67067   18.95   6.882
 67068   18.95   6.873
 67069   18.97   6.784
 67070   18.97   6.821
 67071   18.98   6.813
 67072   18.99   6.772
 67073   19.00   6.783
 67074   19.01   6.800
 67075   19.02   6.727
 67076   19.03   6.783
 67077   19.04   6.767
 67078   19.04   6.799
 67079   19.05   6.855
 67080   19.06   6.805
 67081   19.07   6.818
 67082   19.08   6.812
 67083   19.08   6.794
 67084   19.09   6.775
 67085   19.10   6.770
 67086   19.11   6.758
 67087   19.12   6.747
 67088   19.12   6.735
 67089   19.13   6.679
 67090   19.14   6.706
 67091   19.14   6.689
 67092   19.15   6.677
 67093   19.16   6.685
 67094   19.16   6.693
 67095   19.17   6.681
 67096   19.18   6.720
 67097   19.18   6.703
 67098   19.19   6.724
 67099   19.20   6.694
 67100   19.21   6.715
 67101   19.22   6.710
 67102   19.23   6.705
 67103   19.24   6.701
 67104   19.25   6.684
 67105   19.26   6.680
 67106   19.27   6.714
 67107   19.28   6.685
 67108   19.29   6.699
 67109   19.30   6.686
 67110   19.30   6.720
 67111   19.31   6.671
 67112   19.32   6.722
 67113   19.32   6.678
 67114   19.33   6.660
 67115   19.34   6.724
 67116   19.35   6.706
 67117   19.35   6.763
 67118   19.36   6.770
 67119   19.37   6.718
 67120   19.38   6.735
 67121   19.39   6.721
 67122   19.40   6.701
 67123   19.41   6.717
 67124   19.42   6.720
 67125   19.43   6.722
 67126   19.44   6.731
 67127   19.45   6.715
 67128   19.45   6.716
 67129   19.47   6.735
 67130   19.47   6.730
 67131   19.48   6.711
 67132   19.48   6.737
 67133   19.48   6.737
 67134   19.49   6.738
 67135   19.49   6.714
 67136   19.49   6.727
 67137   19.50   6.734
 67138   19.50   6.745
 67139   19.51   6.662
 67140   19.52   6.718
 67141   19.53   6.704
 67142   19.54   6.689
 67143   19.55   6.693
 67144   19.56   6.692
 67145   19.57   6.673
 67146   19.58   6.684
 67147   19.59   6.677
 67148   19.60   6.683
 67149   19.60   6.669
 67150   19.61   6.696
 67151   19.62   6.717
 67152   19.63   6.713
 67153   19.63   6.678
 67154   19.64   6.660
 67155   19.65   6.668
 67156   19.66   6.681
 67157   19.66   6.688
 67158   19.67   6.700
 67159   19.68   6.686
 67160   19.69   6.674
 67161   19.70   6.687
 67162   19.71   6.656
 67163   19.72   6.675
 67164   19.73   6.663
 67165   19.74   6.675
 67166   19.75   6.662
 67167   19.76   6.687
 67168   19.77   6.688
 67169   19.77   6.632
 67170   19.78   6.682
 67171   19.78   6.657
 67172   19.79   6.669
 67173   19.80   6.632
 67174   19.80   6.639
 67175   19.81   6.676
 67176   19.81   6.706
 67177   19.82   6.637
 67178   19.82   6.634
 67179   19.83   6.580
 67180   19.84   6.612
 67181   19.85   6.608
 67182   19.86   6.592
 67183   19.87   6.634
 67184   19.88   6.625
 67185   19.88   6.640
 67186   19.89   6.631
 67187   19.90   6.622
 67188   19.90   6.613
 67189   19.92   6.600
 67190   19.92   6.609
 67191   19.93   6.642
 67192   19.94   6.613
 67193   19.95   6.604
 67194   19.95   6.606
 67195   19.96   6.591
 67196   19.97   6.606
 67197   19.98   6.584
 67198   19.97   6.586
 67199   19.99   6.608
 67200   20.00   6.598
 67201   20.01   6.600
 67202   20.02   6.609
 67203   20.02   6.587
 67204   20.03   6.573
 67205   20.04   6.570
 67206   20.05   6.547
 67207   20.06   6.554
 67208   20.05   6.542
 67209   20.07   6.571
 67210   20.08   6.552
 67211   20.08   6.557
 67212   20.09   6.561
 67213   20.10   6.523
 67214   20.10   6.528
 67215   20.11   6.523
 67216   20.12   6.548
 67217   20.12   6.553
 67218   20.12   6.570
 67219   20.14   6.553
 67220   20.14   6.547
 67221   20.15   6.536
 67222   20.15   6.525
 67223   20.16   6.534
 67224   20.17   6.502
 67225   20.17   6.471
 67226   20.18   6.490
 67227   20.19   6.484
 67228   20.19   6.494
 67229   20.20   6.564
 67230   20.21   6.535
 67231   20.22   6.462
 67232   20.24   6.546
 67233   20.25   6.524
 67234   20.26   6.538
 67235   20.27   6.522
 67236   20.28   6.543
 67237   20.29   6.521
 67238   20.29   6.528
 67239   20.30   6.523
 67240   20.30   6.519
 67241   20.31   6.528
 67242   20.31   6.512
 67243   20.31   6.527
 67244   20.32   6.512
 67245   20.32   6.539
 67246   20.32   6.543
 67247   20.33   6.527
 67248   20.32   6.523
 67249   20.33   6.502
 67250   20.33   6.527
 67251   20.34   6.523
 67252   20.34   6.532
 67253   20.34   6.516
 67254   20.35   6.536
 67255   20.35   6.525
 67256   20.35   6.497
 67257   20.36   6.506
 67258   20.36   6.489
 67259   20.37   6.521
 67260   20.38   6.497
 67261   20.39   6.502
 67262   20.40   6.507
 67263   20.41   6.529
 67264   20.42   6.508
 67265   20.43   6.483
 67266   20.44   6.494
 67267   20.44   6.480
 67268   20.45   6.483
 67269   20.46   6.468
 67270   20.46   6.492
 67271   20.46   6.468
 67272   20.46   6.492
 67273   20.46   6.475
 67274   20.47   6.499
 67275   20.47   6.511
 67276   20.47   6.512
 67277   20.47   6.476
 67278   20.47   6.463
 67279   20.48   6.485
 67280   20.48   6.491
 67281   20.49   6.492
 67282   20.49   6.516
 67283   20.50   6.505
 67284   20.50   6.535
 67285   20.51   6.483
 67286   20.51   6.498
 67287   20.51   6.512
 67288   20.52   6.525
 67289   20.52   6.521
 67290   20.53   6.523
 67291   20.53   6.526
 67292   20.54   6.523
 67293   20.54   6.507
 67294   20.55   6.502
 67295   20.55   6.516
 67296   20.56   6.495
 67297   20.56   6.478
 67298   20.56   6.459
 67299   20.57   6.489
 67300   20.56   6.487
 67301   20.56   6.516
 67302   20.56   6.521
 67303   20.56   6.513
 67304   20.56   6.511
 67305   20.55   6.504
 67306   20.55   6.490
 67307   20.55   6.500
 67308   20.54   6.494
 67309   20.55   6.473
 67310   20.55   6.491
 67311   20.55   6.463
 67312   20.56   6.482
 67313   20.56   6.489
 67314   20.56   6.484
 67315   20.56   6.449
 67316   20.56   6.479
 67317   20.57   6.474
 67318   20.56   6.492
 67319   20.57   6.530
 67320   20.57   6.509
 67321   20.57   6.502
 67322   20.57   6.524
 67323   20.57   6.511
 67324   20.58   6.515
 67325   20.58   6.508
 67326   20.58   6.503
 67327   20.58   6.515
 67328   20.57   6.514
 67329   20.58   6.489
 67330   20.58   6.513
 67331   20.58   6.536
 67332   20.58   6.518
 67333   20.59   6.495
 67334   20.59   6.488
 67335   20.59   6.512
 67336   20.59   6.494
 67337   20.59   6.483
 67338   20.59   6.466
 67339   20.59   6.505
 67340   20.60   6.506
 67341   20.60   6.502
 67342   20.60   6.539
 67343   20.60   6.523
 67344   20.61   6.532
 67345   20.61   6.510
 67346   20.61   6.517
 67347   20.61   6.505
 67348   20.62   6.506
 67349   20.62   6.511
 67350   20.63   6.513
 67351   20.63   6.509
 67352   20.64   6.517
 67353   20.64   6.512
 67354   20.65   6.549
 67355   20.66   6.527
 67356   20.66   6.511
 67357   20.67   6.517
 67358   20.67   6.509
 67359   20.68   6.516
 67360   20.68   6.538
 67361   20.69   6.525
 67362   20.70   6.559
 67363   20.70   6.546
 67364   20.71   6.562
 67365   20.71   6.566
 67366   20.72   6.559
 67367   20.73   6.558
 67368   20.72   6.553
 67369   20.74   6.511
 67370   20.74   6.533
 67371   20.75   6.561
 67372   20.76   6.523
 67373   20.76   6.550
 67374   20.77   6.532
 67375   20.78   6.543
 67376   20.78   6.531
 67377   20.79   6.524
 67378   20.79   6.514
 67379   20.80   6.545
 67380   20.81   6.532
 67381   20.82   6.554
 67382   20.83   6.551
 67383   20.83   6.550
 67384   20.84   6.543
 67385   20.85   6.542
 67386   20.86   6.529
 67387   20.86   6.522
 67388   20.87   6.512
 67389   20.88   6.482
 67390   20.89   6.495
 67391   20.90   6.506
 67392   20.91   6.481
 67393   20.92   6.515
 67394   20.94   6.520
 67395   20.95   6.541
 67396   20.96   6.511
 67397   20.97   6.532
 67398   20.97   6.518
 67399   20.99   6.465
 67400   21.00   6.498
 67401   21.02   6.461
 67402   21.03   6.469
 67403   21.04   6.464
 67404   21.05   6.437
 67405   21.07   6.461
 67406   21.08   6.439
 67407   21.09   6.457
 67408   21.10   6.449
 67409   21.12   6.507
 67410   21.13   6.456
 67411   21.15   6.462
 67412   21.16   6.463
 67413   21.17   6.476
 67414   21.19   6.477
 67415   21.20   6.460
 67416   21.22   6.467
 67417   21.23   6.473
 67418   21.23   6.480
 67419   21.25   6.455
 67420   21.26   6.438
 67421   21.27   6.402
 67422   21.28   6.391
 67423   21.29   6.397
 67424   21.29   6.362
 67425   21.30   6.368
 67426   21.31   6.334
 67427   21.32   6.374
 67428   21.32   6.364
 67429   21.34   6.418
 67430   21.36   6.420
 67431   21.38   6.417
 67432   21.40   6.467
 67433   21.41   6.443
 67434   21.43   6.391
 67435   21.45   6.372
 67436   21.46   6.376
 67437   21.48   6.363
 67438   21.50   6.362
 67439   21.51   6.323
 67440   21.53   6.329
 67441   21.54   6.296
 67442   21.55   6.291
 67443   21.57   6.309
 67444   21.58   6.275
 67445   21.60   6.276
 67446   21.61   6.270
 67447   21.62   6.263
 67448   21.63   6.257
 67449   21.65   6.260
 67450   21.66   6.257
 67451   21.67   6.254
 67452   21.68   6.257
 67453   21.68   6.236
 67454   21.69   6.245
 67455   21.70   6.233
 67456   21.71   6.219
 67457   21.72   6.232
 67458   21.72   6.227
 67459   21.75   6.189
 67460   21.77   6.213
 67461   21.79   6.220
 67462   21.80   6.205
 67463   21.82   6.230
 67464   21.84   6.204
 67465   21.86   6.218
 67466   21.88   6.236
 67467   21.90   6.260
 67468   21.90   6.281
 67469   21.92   6.268
 67470   21.93   6.262
 67471   21.94   6.271
 67472   21.94   6.247
 67473   21.95   6.229
 67474   21.96   6.250
 67475   21.96   6.244
 67476   21.97   6.248
 67477   21.98   6.240
 67478   21.98   6.240
 67479   22.00   6.235
 67480   22.01   6.228
 67481   22.02   6.253
 67482   22.03   6.225
 67483   22.04   6.228
 67484   22.06   6.194
 67485   22.07   6.187
 67486   22.08   6.207
 67487   22.09   6.200
 67488   22.10   6.212
 67489   22.11   6.218
 67490   22.13   6.204
 67491   22.14   6.220
 67492   22.15   6.201
 67493   22.17   6.205
 67494   22.18   6.177
 67495   22.19   6.219
 67496   22.20   6.195
 67497   22.22   6.171
 67498   22.22   6.147
 67499   22.23   6.108
 67500   22.24   6.136
 67501   22.24   6.121
 67502   22.25   6.123
 67503   22.25   6.115
 67504   22.25   6.138
 67505   22.26   6.139
 67506   22.26   6.130
 67507   22.27   6.088
 67508   22.27   6.067
 67509   22.28   6.046
 67510   22.29   6.040
 67511   22.31   6.022
 67512   22.32   6.011
 67513   22.33   6.005
 67514   22.34   5.999
 67515   22.36   5.966
 67516   22.37   5.970
 67517   22.38   5.969
 67518   22.38   5.972
 67519   22.40   5.972
 67520   22.41   5.984
 67521   22.41   5.980
 67522   22.42   5.994
 67523   22.43   5.985
 67524   22.43   5.950
 67525   22.44   5.942
 67526   22.44   5.922
 67527   22.45   5.935
 67528   22.45   5.927
 67529   22.47   5.908
 67530   22.47   5.905
 67531   22.48   5.929
 67532   22.49   5.893
 67533   22.50   5.912
 67534   22.51   5.914
 67535   22.52   5.922
 67536   22.53   5.903
 67537   22.54   5.889
 67538   22.54   5.872
 67539   22.55   5.869
 67540   22.56   5.873
 67541   22.56   5.899
 67542   22.57   5.882
 67543   22.57   5.870
 67544   22.58   5.891
 67545   22.58   5.863
 67546   22.58   5.885
 67547   22.59   5.879
 67548   22.59   5.892
 67549   22.60   5.855
 67550   22.62   5.868
 67551   22.63   5.868
 67552   22.64   5.847
 67553   22.65   5.875
 67554   22.66   5.848
 67555   22.67   5.875
 67556   22.68   5.848
 67557   22.70   5.844
 67558   22.70   5.825
 67559   22.71   5.810
 67560   22.71   5.845
 67561   22.72   5.827
 67562   22.72   5.857
 67563   22.72   5.844
 67564   22.72   5.841
 67565   22.73   5.849
 67566   22.73   5.868
 67567   22.73   5.855
 67568   22.72   5.864
 67569   22.74   5.825
 67570   22.74   5.821
 67571   22.74   5.811
 67572   22.74   5.780
 67573   22.75   5.798
 67574   22.75   5.788
 67575   22.75   5.799
 67576   22.75   5.827
 67577   22.75   5.807
 67578   22.76   5.819
 67579   22.77   5.843
 67580   22.78   5.823
 67581   22.79   5.816
 67582   22.80   5.825
 67583   22.81   5.829
 67584   22.83   5.816
 67585   22.84   5.776
 67586   22.85   5.763
 67587   22.86   5.788
 67588   22.87   5.788
 67589   22.87   5.766
 67590   22.87   5.766
 67591   22.87   5.749
 67592   22.87   5.743
 67593   22.87   5.726
 67594   22.87   5.736
 67595   22.87   5.735
 67596   22.87   5.718
 67597   22.87   5.712
 67598   22.87   5.698
 67599   22.88   5.692
 67600   22.90   5.700
 67601   22.91   5.687
 67602   22.93   5.701
 67603   22.94   5.692
 67604   22.95   5.691
 67605   22.97   5.700
 67606   22.98   5.699
 67607   22.99   5.692
 67608   23.01   5.689
 67609   23.01   5.671
 67610   23.02   5.681
 67611   23.03   5.695
 67612   23.03   5.677
 67613   23.04   5.666
 67614   23.04   5.658
 67615   23.05   5.667
 67616   23.06   5.675
 67617   23.06   5.668
 67618   23.06   5.672
 67619   23.07   5.718
 67620   23.08   5.703
 67621   23.09   5.731
 67622   23.09   5.738
 67623   23.10   5.712
 67624   23.10   5.698
 67625   23.11   5.726
 67626   23.11   5.732
 67627   23.12   5.702
 67628   23.12   5.696
 67629   23.13   5.676
 67630   23.14   5.689
 67631   23.15   5.671
 67632   23.16   5.679
 67633   23.17   5.645
 67634   23.18   5.658
 67635   23.19   5.654
 67636   23.20   5.666
 67637   23.21   5.654
 67638   23.21   5.659
 67639   23.23   5.687
 67640   23.24   5.674
 67641   23.25   5.693
 67642   23.26   5.692
 67643   23.26   5.701
 67644   23.27   5.720
 67645   23.28   5.697
 67646   23.29   5.714
 67647   23.30   5.675
 67648   23.29   5.676
 67649   23.32   5.628
 67650   23.33   5.661
 67651   23.34   5.642
 67652   23.35   5.643
 67653   23.37   5.640
 67654   23.38   5.657
 67655   23.39   5.615
 67656   23.41   5.659
 67657   23.42   5.629
 67658   23.43   5.648
 67659   23.44   5.602
 67660   23.44   5.629
 67661   23.45   5.577
 67662   23.45   5.600
 67663   23.46   5.596
 67664   23.46   5.629
 67665   23.47   5.614
 67666   23.47   5.610
 67667   23.48   5.596
 67668   23.47   5.589
 67669   23.50   5.577
 67670   23.51   5.591
 67671   23.53   5.609
 67672   23.54   5.596
 67673   23.55   5.572
 67674   23.57   5.569
 67675   23.58   5.545
 67676   23.60   5.526
 67677   23.61   5.559
 67678   23.62   5.557
 67679   23.64   5.582
 67680   23.66   5.572
 67681   23.68   5.588
 67682   23.69   5.588
 67683   23.71   5.569
 67684   23.73   5.595
 67685   23.75   5.585
 67686   23.76   5.591
 67687   23.78   5.546
 67688   23.79   5.534
 67689   23.81   5.517
 67690   23.82   5.524
 67691   23.83   5.551
 67692   23.85   5.522
 67693   23.86   5.519
 67694   23.87   5.536
 67695   23.88   5.512
 67696   23.89   5.518
 67697   23.90   5.525
 67698   23.90   5.531
 67699   23.93   5.530
 67700   23.94   5.509
 67701   23.95   5.519
 67702   23.96   5.494
 67703   23.98   5.519
 67704   23.99   5.484
 67705   24.00   5.505
 67706   24.02   5.500
 67707   24.03   5.505
 67708   24.04   5.504
 67709   24.06   5.494
 67710   24.07   5.508
 67711   24.09   5.493
 67712   24.10   5.509
 67713   24.12   5.488
 67714   24.13   5.503
 67715   24.15   5.504
 67716   24.16   5.509
 67717   24.18   5.518
 67718   24.19   5.525
 67719   24.20   5.470
 67720   24.21   5.504
 67721   24.22   5.509
 67722   24.23   5.488
 67723   24.24   5.498
 67724   24.25   5.503
 67725   24.26   5.482
 67726   24.27   5.452
 67727   24.28   5.482
 67728   24.29   5.473
 67729   24.30   5.470
 67730   24.32   5.484
 67731   24.33   5.499
 67732   24.34   5.497
 67733   24.35   5.481
 67734   24.36   5.470
 67735   24.37   5.480
 67736   24.38   5.484
 67737   24.40   5.482
 67738   24.40   5.484
 67739   24.42   5.474
 67740   24.43   5.492
 67741   24.44   5.454
 67742   24.46   5.486
 67743   24.47   5.474
 67744   24.48   5.461
 67745   24.49   5.489
 67746   24.51   5.471
 67747   24.52   5.464
 67748   24.53   5.450
 67749   24.54   5.406
 67750   24.55   5.433
 67751   24.56   5.415
 67752   24.57   5.413
 67753   24.58   5.421
 67754   24.59   5.419
 67755   24.60   5.416
 67756   24.61   5.383
 67757   24.62   5.395
 67758   24.62   5.378
 67759   24.64   5.392
 67760   24.65   5.396
 67761   24.65   5.391
 67762   24.66   5.411
 67763   24.67   5.377
 67764   24.68   5.406
 67765   24.69   5.367
 67766   24.70   5.382
 67767   24.71   5.388
 67768   24.71   5.400
 67769   24.74   5.366
 67770   24.75   5.386
 67771   24.77   5.376
 67772   24.79   5.371
 67773   24.81   5.346
 67774   24.82   5.351
 67775   24.84   5.366
 67776   24.86   5.332
 67777   24.87   5.346
 67778   24.88   5.328
 67779   24.90   5.323
 67780   24.91   5.320
 67781   24.92   5.307
 67782   24.93   5.309
 67783   24.94   5.291
 67784   24.95   5.303
 67785   24.96   5.275
 67786   24.97   5.273
 67787   24.98   5.296
 67788   24.98   5.302
 67789   25.00   5.276
 67790   25.01   5.262
 67791   25.01   5.235
 67792   25.02   5.221
 67793   25.03   5.246
 67794   25.04   5.257
 67795   25.05   5.243
 67796   25.06   5.244
 67797   25.07   5.245
 67798   25.07   5.246
 67799   25.09   5.208
 67800   25.10   5.237
 67801   25.10   5.247
 67802   25.11   5.233
 67803   25.12   5.238
 67804   25.13   5.234
 67805   25.14   5.244
 67806   25.15   5.231
 67807   25.16   5.238
 67808   25.17   5.230
 67809   25.18   5.254
 67810   25.19   5.241
 67811   25.20   5.252
 67812   25.21   5.254
 67813   25.22   5.240
 67814   25.23   5.226
 67815   25.25   5.232
 67816   25.26   5.209
 67817   25.27   5.195
 67818   25.28   5.175
 67819   25.29   5.204
 67820   25.30   5.177
 67821   25.32   5.204
 67822   25.33   5.186
 67823   25.34   5.184
 67824   25.35   5.197
 67825   25.36   5.200
 67826   25.38   5.194
 67827   25.39   5.178
 67828   25.39   5.168
 67829   25.41   5.161
 67830   25.42   5.174
 67831   25.43   5.169
 67832   25.43   5.179
 67833   25.44   5.197
 67834   25.45   5.183
 67835   25.46   5.177
 67836   25.47   5.186
 67837   25.48   5.191
 67838   25.48   5.198
 67839   25.50   5.161
 67840   25.50   5.207
 67841   25.51   5.181
 67842   25.52   5.207
 67843   25.53   5.182
 67844   25.54   5.194
 67845   25.55   5.197
 67846   25.56   5.211
 67847   25.57   5.198
 67848   25.56   5.202
 67849   25.59   5.199
 67850   25.60   5.212
