UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
N,7,2006,19,4027877,2025591,2002286,1586253,1544826,287306,307731,25605,25567,80128,77337,4254,4154,42045,42671,1623297,1582154,303345,324713,39830,40023,96268,93456,8765,8545,1683984,1674323,1272598,1245307,274166,294219,19517,19413,77882,75042,3227,3199,36594,37143,1304826,1277794,287996,308903,31456,31476,92345,89499,7054,6918,341607,327963,313655,299519,13140,13512,6088,6154,2246,2295,1027,955,5451,5528,318471,304360,15349,15810,8374,8547,3923,3957,1711,1627
N,7,2006,20,4035566,2024480,2011086,1593114,1555692,278215,304595,25637,25462,82434,79730,4289,4267,40791,41340,1628954,1591690,293161,320417,39825,40135,98351,95445,8721,8736,1678481,1684788,1274581,1257074,265394,291423,19485,19546,80263,77520,3307,3294,35451,35931,1305685,1288329,278296,305019,31300,31908,94568,91554,7053,7092,345999,326298,318533,298618,12821,13172,6152,5916,2171,2210,982,973,5340,5409,323269,303361,14865,15398,8525,8227,3783,3891,1668,1644
N,7,2006,21,4054621,2034981,2019640,1608600,1565705,273394,301513,25507,25573,83841,81990,4363,4237,39276,40622,1643070,1601045,287248,316645,39568,40314,99462,97660,8689,8582,1678797,1690699,1279414,1264028,260962,288713,19287,19589,81629,79769,3309,3282,34196,35318,1309415,1294729,272879,301724,31082,31979,95688,93806,6969,6969,356184,328941,329186,301677,12432,12800,6220,5984,2212,2221,1054,955,5080,5304,333655,306316,14369,14921,8486,8335,3774,3854,1720,1613
N,7,2006,22,3983366,2003192,1980174,1584284,1533293,265270,293467,25073,25202,86195,84682,4516,4322,37854,39208,1617271,1567284,278362,307597,38847,39558,101257,99961,8889,8802,1632848,1650970,1241587,1231026,252548,280712,18571,19328,83969,82491,3450,3336,32723,34077,1270053,1260506,263649,292882,30070,31372,97485,96205,7158,7123,370344,329204,342697,302267,12722,12755,6502,5874,2226,2191,1066,986,5131,5131,347218,306778,14713,14715,8777,8186,3772,3756,1731,1679
N,7,2006,23,4066456,2053408,2013048,1628064,1560828,268301,295428,25945,25278,89315,88731,4462,4327,37321,38456,1660522,1593867,280998,309077,39773,39658,104097,103900,8797,8754,1652915,1670577,1256402,1245641,255130,282377,18925,19316,86988,86523,3277,3341,32193,33379,1284303,1274256,265785,294037,30517,31443,100279,100148,6992,7113,400493,342471,371662,315187,13171,13051,7020,5962,2327,2208,1185,986,5128,5077,376219,319611,15213,15040,9256,8215,3818,3752,1805,1641
N,7,2006,24,4112095,2069364,2042731,1642520,1580097,266213,300593,25172,24197,94583,94649,4747,4644,36129,38551,1673545,1612931,278243,314334,38613,38330,109222,110081,9096,9401,1644588,1687573,1247601,1253079,252374,286939,17886,18294,92240,92296,3476,3621,31011,33344,1274135,1281388,262379,298496,29006,30172,105412,106189,7224,7716,424776,355158,394919,327018,13839,13654,7286,5903,2343,2353,1271,1023,5118,5207,399410,331543,15864,15838,9607,8158,3810,3892,1872,1685
N,7,2006,25,4168501,2082659,2085842,1654632,1611354,263481,306304,24911,24052,99589,101717,5006,4889,35040,37526,1684292,1642714,274838,319971,37745,37264,114296,117121,9809,9884,1645886,1723494,1248661,1278336,249044,291622,17378,18095,97116,99229,3636,3817,30051,32395,1273868,1305241,258290,303072,28097,29167,110493,113107,7855,8158,436773,362348,405971,333018,14437,14682,7533,5957,2473,2488,1370,1072,4989,5131,410424,337473,16548,16899,9648,8097,3803,4014,1954,1726
N,7,2006,26,4163821,2079607,2084214,1651395,1604836,263370,308763,24478,23327,102134,106145,5267,4901,32963,36242,1679048,1635072,274325,321966,36460,36111,115980,121181,9796,9677,1626686,1714720,1229950,1264758,248549,293924,16843,17414,99574,103642,3860,3853,27910,31129,1253158,1290562,257246,304867,26735,28058,112064,117192,7822,8006,452921,369494,421445,340078,14821,14839,7635,5913,2560,2503,1407,1048,5053,5113,425890,344510,17079,17099,9725,8053,3916,3989,1974,1671
N,7,2006,27,3965154,1981198,1983956,1577030,1524459,242508,292015,23003,21733,102976,107771,5103,4769,30578,33209,1602638,1552099,252785,304047,34119,33514,115782,121567,9264,9162,1544172,1626878,1170085,1196161,228329,277173,15775,16048,100437,105338,3717,3757,25829,28401,1191508,1219645,236472,287027,24902,25808,112008,117804,7323,7617,437026,357078,406945,328298,14179,14842,7228,5685,2539,2433,1386,1012,4749,4808,411130,332454,16313,17020,9217,7706,3774,3763,1941,1545
N,7,2006,28,3856401,1925805,1930596,1540189,1487673,226895,276737,22034,20986,103102,109489,4930,4605,28655,31106,1564284,1513479,236268,287875,32516,31905,115279,122747,8708,8670,1488797,1572869,1132552,1157760,212934,262243,14918,15568,100683,107020,3604,3617,24106,26661,1152625,1179687,220210,271295,23457,24696,111801,119081,6856,7145,437008,357727,407637,329913,13961,14494,7116,5418,2419,2469,1326,988,4549,4445,411659,333792,16058,16580,9059,7209,3478,3666,1852,1525
